1,PATRON,1,1,1,1,1
2,BLANCO,1,1,1,1,1
3,BLANCO REACTIVO,1,1,1,1,1
4,SA000003-001,1,7,1,1,1
5,SA000003-002,2,7,1,1,1
6,SA000003-003,3,7,1,1,1
7,SA000003-004,4,7,1,1,1
8,SA000003-005,5,7,1,1,1
9,SA000003-006,6,7,1,1,1
10,SA000003-007,7,7,1,1,1
11,SA000003-008,8,7,1,1,1
12,SA000003-009,9,7,1,1,1
13,SA000003-010,10,7,1,1,1
14,PATRON,1,1,1,1,1
15,BLANCO,1,1,1,1,1
16,BLANCO REACTIVO,1,1,1,1,1
17,SA000003-011,11,7,1,1,1
18,SA000003-012,12,7,1,1,1
19,SA000003-013,13,7,1,1,1
20,SA000003-014,14,7,1,1,1
21,SA000003-015,15,7,1,1,1
22,PATRON,1,1,1,1,1
23,BLANCO,1,1,1,1,1
24,BLANCO REACTIVO,1,1,1,1,1
