Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cab Columna,Untitled 000,0.961
Comp. Cola Columna,Untitled 000,0.616
Barren,Untitled 000,0.674
Cabeza puntual retorno,Untitled 000,0.987
Celda # 11-A,Untitled 000,0.204
Celda # 11-B,Untitled 000,0.814
Celda # 11-C,Untitled 000,0.066
Celda # 6-F2,Untitled 000,0.285
Celda #5-9,Untitled 000,0.947
Celda #(F1+F2),Untitled 000,0.945
NE Tubo 1,Untitled 000,0.026
NE Tubo 2,Untitled 000,0.868
NE Tubo 4,Untitled 000,0.439
NE Tubo 5,Untitled 000,0.039
NE Tubo 6,Untitled 000,0.041
NE Tubo 7,Untitled 000,1.828
Puntual Noroeste,Untitled 000,0.948
Barren Patios,Untitled 000,0.62
Tubo 3,Untitled 000,1.019
Especial 1,Untitled 000,3.086
Especial 2,Untitled 000,0.643
Especial 3,Untitled 000,0.051
Especial 4,Untitled 000,0.049
Especial 5,Untitled 000,0.131
