Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.055
Comp. Cola Columna,Untitled 000,1.022
Barren,Untitled 000,0.944
Cabeza puntual retorno,Untitled 000,1.096
Celda # 11-A,Untitled 000,0.038
Celda # 11-B,Untitled 000,0.027
Celda # 11-C,Untitled 000,0.078
Celda # 6-F2,Untitled 000,0.021
Celda #5-9,Untitled 000,0.048
Celda #(F1+F2),Untitled 000,1.030
NE Tubo 1,Untitled 000,0.018
NE Tubo 2,Untitled 000,0.189
NE Tubo 4,Untitled 000,2.338
NE Tubo 5,Untitled 000,1.259
NE Tubo 6,Untitled 000,0.082
NE Tubo 7,Untitled 000,0.987
Puntual Noroeste,Untitled 000,0.864
Tubo 3,Untitled 000,0.666
Especial 1,Untitled 000,0.029
Especial 2,Untitled 000,0.013
Especial 3,Untitled 000,0.031
Especial 4,Untitled 000,0.033
Especial 5,Untitled 000,0.024
