Analista,JGS,,,,,,,,,,
Fecha de inicio,28/01/2023 09:29 a. m.  GMT: 28/01/2023 03:29 p. m.,,,,,,,,,,
Hoja de trabajo,SA000172-RE_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,-0.0001,-0.0002,-0.0006,0.0003,-0.0001,
,PATRÓN 1,0.5,,mg/L,15.4,0.0128,-0.0016,0.0149,0.0126,0.011,
,PATRÓN 2,1,,mg/L,8.8,0.0276,-0.0017,0.0281,0.0249,0.0297,
,PATRÓN 3,2,,mg/L,8,0.0551,-0.0019,0.0597,0.0548,0.0509,
,PATRÓN 4,5,,mg/L,1.6,0.1314,-0.0007,0.1333,0.1291,0.1319,
,PATRÓN 5,10,,mg/L,1.4,0.2589,-0.0021,0.2547,0.2614,0.2605,
,BLANCO REACTIVO,0,,mg/L,>100,0.002,-0.0009,0.002,-0.0001,0.004,
,PATRON,0.5174,,mg/L,6.4,0.0136,-0.0048,0.0144,0.0127,0.0138,
,BLANCO,-0.0016,,mg/L,>100,0,-0.0026,0.0023,-0.0025,0.0001,
,SA000123-016,0.0773,,mg/L,9.5,0.0087,-0.0019,0.0094,0.0078,0.009,
,SA000125-006,0.1432,,mg/L,2.5,0.0162,-0.0015,0.0166,0.0164,0.0158,
,SA000125-007,0.2737,,mg/L,8.4,0.0312,-0.0024,0.0284,0.0317,0.0336,
,SA000125-008,0.104,,mg/L,18.2,0.0118,-0.0023,0.0093,0.0132,0.0128,
,CERO CAL,0,,mg/L,>100,-0.0001,0.0001,0.0006,-0.0013,0.0004,
,PATRÓN 1,0.5,,mg/L,5.8,0.0145,-0.0012,0.0152,0.0148,0.0136,
,PATRÓN 2,1,,mg/L,3.2,0.032,-0.0012,0.033,0.031,0.0321,
,PATRÓN 3,2,,mg/L,0.7,0.065,-0.0001,0.0648,0.0648,0.0655,
,PATRÓN 4,5,,mg/L,0.3,0.1616,-0.0003,0.1619,0.161,0.1619,
,PATRÓN 5,10,,mg/L,0.4,0.3094,0,0.3081,0.31,0.3102,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0,-0.0004,-0.0007,0.0005,
,SA000125-009,0.1293,,mg/L,5.9,0.0167,-0.0002,0.0163,0.016,0.0179,
,CERO CAL,0,,mg/L,>100,0.0002,-0.0004,0.0001,-0.0003,0.0007,
,Ajuste Pendiente,1,,mg/L,2.4,0.0307,0.0001,0.0306,0.03,0.0315,
,PATRON,0.4838,,mg/L,2.2,0.0139,-0.0001,0.0141,0.0136,0.0141,
,SA000125-011,0.1258,,mg/L,6.6,0.0156,0.0002,0.0154,0.0167,0.0147,
,SA000125-012,0.1182,,mg/L,6.2,0.0146,-0.0001,0.0137,0.0155,0.0147,
,SA000126-001,0.0506,,mg/L,11.4,0.0062,0.0012,0.0056,0.007,0.0059,
,SA000126-013,0.3522,,mg/L,3.7,0.0451,0.0005,0.0444,0.0439,0.047,
