Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.523
Comp. Cola Columna,Untitled 000,0.251
Barren,Untitled 000,0.254
Cabeza puntual retorno,Untitled 000,0.504
Celda # 11-A,Untitled 000,0.109
Celda # 11-B,Untitled 000,0.07
Celda # 11-C,Untitled 000,0.034
Celda #5-9,Untitled 000,0.028
Celda #(F1+F2),Untitled 000,0.507
NE Tubo 1,Untitled 000,0.024
NE Tubo 2,Untitled 000,0.164
NE Tubo 4,Untitled 000,0.187
NE Tubo 5,Untitled 000,0.062
NE Tubo 6,Untitled 000,0.153
NE Tubo 7,Untitled 000,0.972
Puntual Noroeste,Untitled 000,0.51
Barren Patios,Untitled 000,0.239
Tubo 3,Untitled 000,0.938
Especial 1,Untitled 000,0.059
Especial 2,Untitled 000,0.033
Especial 3,Untitled 000,0.598
Especial 4,Untitled 000,0.767
Especial 5,Untitled 000,0.06
Columna #1,Untitled 000,0.463
Columna #2,Untitled 000,0.424
Columna #3,Untitled 000,0.359
Columna #4,Untitled 000,0.309
Columna #5,Untitled 000,0.23
