"Analista","JUDAS"
"Fecha de inicio","10/21/2023 2:57 PM  GMT: 10/21/2023 9:57 PM"
"Hoja de trabajo","LC001444-RE_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"10/21/2023","3:00:50 PM","PATRON",0.8991,"","mg/L"
"10/21/2023","3:01:10 PM","BLANCO",0.0169,"","mg/L"
"10/21/2023","3:01:20 PM","BLANCO REACTIVO REAG",0.0134,"","mg/L"
"10/21/2023","3:01:28 PM","LC001439-007","OVER","R","mg/L"
"10/21/2023","3:01:38 PM","LC001439-008","OVER","R","mg/L"
"10/21/2023","3:01:50 PM","LC001439-009","OVER","R","mg/L"
"10/21/2023","3:02:26 PM","LC001439-011",0.4031,"","mg/L"
"10/21/2023","3:02:36 PM","LC001439-013",0.1621,"","mg/L"
"10/21/2023","3:02:54 PM","PATRON",0.9143,"","mg/L"
"10/21/2023","3:04:02 PM","LC001439-010",0.0073,"","mg/L"
"10/21/2023","3:04:02 PM","PATRON","","","mg/L"

"Método: Au AU ALTO (Llama)"


"10/21/2023","3:09:42 PM","LC001439-007",3.5742,"","mg/L"
"10/21/2023","3:09:58 PM","LC001439-008",3.9654,"","mg/L"
"10/21/2023","3:10:12 PM","LC001439-009",1.8883,"","mg/L"
"10/21/2023","3:10:12 PM","PATRON","","","mg/L"
