Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.506
Cabeza puntual retorno,Untitled 000,0.515
Celda #(F1+F2),Untitled 000,0.483
Puntual Noroeste,Untitled 000,0.480
Tubo 3,Untitled 000,0.552
Comp. Cola Columna,Untitled 000,0.334
Barren,Untitled 000,0.313
Celda # 11-A,Untitled 000,0.387
Celda # 11-B,Untitled 000,0.296
Celda # 11-C,Untitled 000,0.054
Celda #5-9,Untitled 000,1.109
NE Tubo 1,Untitled 000,0.040
NE Tubo 2,Untitled 000,0.215
NE Tubo 4,Untitled 000,0.244
NE Tubo 5,Untitled 000,0.190
NE Tubo 6,Untitled 000,1.061
NE Tubo 7,Untitled 000,0.826
Barren Patios,Untitled 000,0.303
Especial 1,Untitled 000,2.545
Especial 2,Untitled 000,0.094
Especial 3,Untitled 000,0.051
Especial 4,Untitled 000,0.057
Especial 5,Untitled 000,0.116
Columna #1,Untitled 000,0.486
Columna #2,Untitled 000,0.443
Columna #4,Untitled 000,0.373
Columna #5,Untitled 000,0.360
