Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Untitled 000,0.909
Columna #2,Untitled 000,0.886
Columna #3,Untitled 000,0.979
Columna #4,Untitled 000,0.863
Columna #5,Untitled 000,0.923
Comp. Cabeza Columna,Untitled 000,1.081
Comp. Cola Columna,Untitled 000,0.975
Barren,Untitled 000,0.954
Cabeza puntual retorno,Untitled 000,1.045
Celda # 11-A,Untitled 000,1.484
Celda # 11-B,Untitled 000,0.070
Celda # 11-C,Untitled 000,0.027
Celda #5-9,Untitled 000,1.935
Celda #(F1+F2),Untitled 000,1.015
NE Tubo 1,Untitled 000,0.041
NE Tubo 2,Untitled 000,0.766
NE Tubo 4,Untitled 000,0.264
NE Tubo 5,Untitled 000,0.051
NE Tubo 6,Untitled 000,0.023
NE Tubo 7,Untitled 000,0.456
Puntual Noroeste,Untitled 000,0.943
Barren Patios,Untitled 000,0.865
Tubo 3,Untitled 000,1.151
Especial 1,Untitled 000,0.860
Especial 2,Untitled 000,0.820
Especial 3,Untitled 000,0.164
Especial 4,Untitled 000,0.054
Especial 5,Untitled 000,1.257
