Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.149
Cabeza puntual retorno,Au 242.80,0.147
Celda # 6-F2,Au 242.80,0.026
Celda #5-9,Au 242.80,0.085
Celda #(F1+F2),Au 242.80,0.158
NE Tubo 2,Au 242.80,0.066
NE Tubo 4,Au 242.80,0.139
NE Tubo 5,Au 242.80,0.219
NE Tubo 6,Au 242.80,0.089
NE Tubo 7,Au 242.80,0.224
Puntual Noroeste,Au 242.80,0.159
Tubo 3,Au 242.80,0.153
Especial 1,Au 242.80,0.05
Especial 2,Au 242.80,0.067
Especial 3,Au 242.80,0.03
Especial 4,Au 242.80,0.076
Especial 5,Au 242.80,0.06
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.011
Celda # 11-A,Au 242.80,0.036
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.003
NE Tubo 1,Au 242.80,0.001
Barren Patios,Au 242.80,0.014
