"Analyst",""
"Date Started","9/25/2024 4:45 PM  GMT: 9/25/2024 11:45 PM"
"Worksheet","EXP000076_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"9/25/2024","4:50:38 PM","BLANCO",-0.0227,"","mg/L"
"9/25/2024","4:50:50 PM","REAGENT BLANK",0.0000,"","mg/L"
"9/25/2024","4:52:30 PM","PATRON",0.8879,"","mg/L"
"9/25/2024","4:52:58 PM","EXP000076-001",0.4525,"","mg/L"
"9/25/2024","4:53:12 PM","EXP000076-002",0.1162,"","mg/L"
"9/25/2024","4:53:28 PM","EXP000076-003",0.1184,"","mg/L"
"9/25/2024","4:53:42 PM","EXP000076-004",0.0244,"","mg/L"
"9/25/2024","4:53:54 PM","EXP000076-005",0.0447,"","mg/L"
"9/25/2024","4:54:12 PM","EXP000076-006",0.0623,"","mg/L"
"9/25/2024","4:54:28 PM","PATRON",0.9055,"","mg/L"
"9/25/2024","4:55:00 PM","EXP000076-008",0.0023,"","mg/L"
"9/25/2024","4:55:12 PM","EXP000076-009",0.1691,"","mg/L"
"9/25/2024","4:55:24 PM","EXP000076-010",0.0276,"","mg/L"
"9/25/2024","4:55:36 PM","EXP000076-011",0.0404,"","mg/L"
"9/25/2024","4:55:48 PM","EXP000076-012",0.0430,"","mg/L"
"9/25/2024","4:58:40 PM","EXP000076-007",0.3987,"","mg/L"
"9/25/2024","4:59:02 PM","PATRON",0.9091,"","mg/L"
"9/25/2024","4:59:20 PM","EXP000076-013",0.0299,"","mg/L"
"9/25/2024","4:59:32 PM","EXP000076-014",0.0700,"","mg/L"
"9/25/2024","4:59:44 PM","EXP000076-015",0.0056,"","mg/L"
"9/25/2024","4:59:56 PM","EXP000076-016",0.0583,"","mg/L"
"9/25/2024","5:00:14 PM","EXP000076-017",0.0136,"","mg/L"
"9/25/2024","5:02:48 PM","EXP000076-018",0.2554,"","mg/L"
"9/25/2024","5:04:02 PM","PATRON",0.9152,"","mg/L"
"9/25/2024","5:04:26 PM","EXP000076-019",0.2530,"","mg/L"
"9/25/2024","5:04:38 PM","EXP000076-020",0.1825,"","mg/L"
"9/25/2024","5:04:50 PM","EXP000076-021",0.0865,"","mg/L"
"9/25/2024","5:05:14 PM","EXP000076-023",0.2351,"","mg/L"
"9/25/2024","5:06:16 PM","EXP000076-022",0.1177,"","mg/L"
"9/25/2024","5:06:30 PM","EXP000076-024",0.6323,"","mg/L"
"9/25/2024","5:06:30 PM","PATRON","","","mg/L"

"Method: Au AU ALTO (Flame)"

