Analista,,,,,,
Fecha de inicio,29/12/2025 11:56 p. m.  GMT: 30/12/2025 06:56 a. m.,,,,,
Hoja de trabajo,LC006085_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
30/12/2025,12:16:52 a. m.,PATRON,0.9123,,mg/L,1.1
30/12/2025,12:17:08 a. m.,BLANCO,0.0013,,mg/L,>100
30/12/2025,12:17:16 a. m.,REAGENT BLANK,0,,mg/L,35.6
30/12/2025,12:17:32 a. m.,LC006085-001,0.3718,,mg/L,0.5
30/12/2025,12:17:46 a. m.,LC006085-002,0.3453,,mg/L,1.2
30/12/2025,12:17:58 a. m.,LC006085-003,0.0014,,mg/L,47.4
30/12/2025,12:18:10 a. m.,LC006085-004,0.1191,,mg/L,1
30/12/2025,12:18:24 a. m.,LC006085-005,0.1573,,mg/L,1.4
30/12/2025,12:18:38 a. m.,LC006085-006,0.0099,,mg/L,32.2
30/12/2025,12:18:50 a. m.,PATRON,0.9216,,mg/L,0.6
30/12/2025,12:19:04 a. m.,LC006085-007,0.2019,,mg/L,0.9
30/12/2025,12:19:16 a. m.,LC006085-008,0.1855,,mg/L,2.2
30/12/2025,12:19:28 a. m.,LC006085-009,0.4588,,mg/L,0.4
30/12/2025,12:19:42 a. m.,PATRON,0.919,,mg/L,0.7
30/12/2025,12:19:56 a. m.,BLANCO,-0.0034,,mg/L,>100
30/12/2025,12:20:06 a. m.,REAGENT BLANK,0,,mg/L,58.5
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
