Analista,,,,,,
Fecha de inicio,28/11/2025 09:51 p. m.  GMT: 29/11/2025 04:51 a. m.,,,,,
Hoja de trabajo,LC005892_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
28/11/2025,10:18:54 p. m.,PATRON,0.9112,,mg/L,0.9
28/11/2025,10:19:06 p. m.,BLANCO,-0.0013,,mg/L,>100
28/11/2025,10:19:16 p. m.,REAGENT BLANK,0,,mg/L,36.6
28/11/2025,10:19:42 p. m.,LC005892-001,0.7665,,mg/L,1
28/11/2025,10:19:56 p. m.,LC005892-002,0.6832,,mg/L,0.4
28/11/2025,10:20:10 p. m.,LC005892-003,0.0032,,mg/L,49.8
28/11/2025,10:20:24 p. m.,LC005892-004,0.0175,,mg/L,6.3
28/11/2025,10:20:38 p. m.,LC005892-005,0.1228,,mg/L,1.3
28/11/2025,10:20:54 p. m.,PATRON,0.915,,mg/L,0.9
28/11/2025,10:21:08 p. m.,BLANCO,0.0088,,mg/L,35.3
28/11/2025,10:21:18 p. m.,REAGENT BLANK,0,,mg/L,24.4
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
