Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.547
Cabeza puntual retorno,Untitled 000,0.531
Celda #(F1+F2),Untitled 000,0.566
Puntual Noroeste,Untitled 000,0.613
Tubo 3,Untitled 000,0.432
NE Tubo 2,Untitled 000,0.963
NE Tubo 4,Untitled 000,0.398
Especial 1,Untitled 000,0.066
Especial 2,Untitled 000,0.139
Especial 3,Untitled 000,0.043
Especial 4,Untitled 000,0.039
Especial 5,Untitled 000,0.047
Comp. Cola Columna,Untitled 000,0.334
Barren,Untitled 000,0.296
Barren Patios,Untitled 000,0.298
NE Tubo 1,Untitled 000,0.21
NE Tubo 5,Untitled 000,0.116
NE Tubo 6,Untitled 000,0.164
NE Tubo 7,Untitled 000,1.451
Celda # 11-A,Untitled 000,0.058
Celda # 11-B,Untitled 000,0.399
Celda # 11-C,Untitled 000,0.031
Celda # 6-F2,Untitled 000,0.297
Celda #5-9,Untitled 000,0.044
