Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.377
Cabeza puntual retorno,Ag 328.07,0.375
Celda #(F1+F2),Ag 328.07,0.397
Puntual Noroeste,Ag 328.07,0.533
Tubo 3,Ag 328.07,0.640
Comp. Cola Columna,Ag 328.07,0.216
Barren,Ag 328.07,0.243
Celda # 11-A,Ag 328.07,0.033
Celda # 11-B,Ag 328.07,0.411
Celda # 11-C,Ag 328.07,0.029
Celda #5-9,Ag 328.07,0.032
NE Tubo 1,Ag 328.07,0.201
NE Tubo 2,Ag 328.07,0.213
NE Tubo 4,Ag 328.07,0.669
NE Tubo 5,Ag 328.07,0.051
NE Tubo 6,Ag 328.07,0.025
NE Tubo 7,Ag 328.07,0.649
Barren Patios,Ag 328.07,0.210
Especial 1,Ag 328.07,0.028
Especial 2,Ag 328.07,0.035
Especial 3,Ag 328.07,0.029
Especial 4,Ag 328.07,0.031
Especial 5,Ag 328.07,0.040
Columna #1,Ag 328.07,0.358
Columna #2,Ag 328.07,0.335
Columna #3,Ag 328.07,0.301
Columna #4,Ag 328.07,0.271
Columna #5,Ag 328.07,0.201
