Analyst,,,,,,
Date Started,10/2/2025 10:48 AM  GMT: 10/2/2025 5:48 PM,,,,,
Worksheet,LC005476_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/2/2025,11:17:06 AM,PATRON,0.8916,,mg/L,0.8
10/2/2025,11:17:18 AM,BLANCO,0.0131,,mg/L,40.2
10/2/2025,11:17:30 AM,REAGENT BLANK,0,,mg/L,3.7
10/2/2025,11:17:42 AM,LC005476-001,0.1917,,mg/L,1.4
10/2/2025,11:17:56 AM,LC005476-002,0.0133,,mg/L,7.8
10/2/2025,11:18:12 AM,LC005476-003,0.864,,mg/L,1
10/2/2025,11:18:26 AM,LC005476-004,-0.0023,,mg/L,24.8
10/2/2025,11:18:40 AM,LC005476-005,0.0178,,mg/L,6.5
10/2/2025,11:18:54 AM,LC005476-006,0.1797,,mg/L,0.9
10/2/2025,11:19:10 AM,PATRON,0.8763,,mg/L,0.2
10/2/2025,11:19:26 AM,LC005476-007,0.0797,,mg/L,0.6
10/2/2025,11:19:38 AM,LC005476-008,0.0641,,mg/L,2.4
10/2/2025,11:19:52 AM,LC005476-009,0.0631,,mg/L,3.7
10/2/2025,11:20:06 AM,LC005476-010,0.0395,,mg/L,1.7
10/2/2025,11:20:20 AM,LC005476-011,0.0361,,mg/L,4.5
10/2/2025,11:20:36 AM,LC005476-012,0.0948,,mg/L,0.9
10/2/2025,11:20:50 AM,PATRON,0.8785,,mg/L,0.3
10/2/2025,11:21:00 AM,LC005476-013,OVER,R,mg/L,0
10/2/2025,11:21:12 AM,LC005476-014,0.3255,,mg/L,0.4
10/2/2025,11:21:24 AM,LC005476-015,0.137,,mg/L,0.4
10/2/2025,11:21:38 AM,LC005476-016,0.0731,,mg/L,2.7
10/2/2025,11:21:52 AM,LC005476-017,0.1206,,mg/L,0.4
10/2/2025,11:22:14 AM,PATRON,0.8815,,mg/L,0.7
10/2/2025,11:22:52 AM,BLANCO,0.0005,,mg/L,>100
10/2/2025,11:23:00 AM,REAGENT BLANK,0,,mg/L,17
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
10/2/2025,11:24:28 AM,LC005476-013,5.4828,,mg/L,0.6
