Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.011
Comp. Cola Columna,Untitled 000,0.504
Barren,Untitled 000,0.539
Cabeza puntual retorno,Untitled 000,0.95
Celda # 11-A,Untitled 000,0.979
Celda # 11-B,Untitled 000,0.504
Celda # 11-C,Untitled 000,0.939
Celda # 6-F2,Untitled 000,0.934
Celda #5-9,Untitled 000,1.521
Celda #(F1+F2),Untitled 000,0.734
NE Tubo 1,Untitled 000,0.016
NE Tubo 2,Untitled 000,0.205
NE Tubo 4,Untitled 000,0.71
NE Tubo 5,Untitled 000,0.599
NE Tubo 6,Untitled 000,0.951
NE Tubo 7,Untitled 000,2.295
Puntual Noroeste,Untitled 000,0.707
Barren Patios,Untitled 000,0.427
Tubo 3,Untitled 000,0.458
Especial 1,Untitled 000,0.338
Especial 2,Untitled 000,0.098
Especial 3,Untitled 000,0.021
Especial 4,Untitled 000,0.026
Especial 5,Untitled 000,0.042
Especial 6,Untitled 000,0.02
