Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.587
Cabeza puntual retorno,Untitled 000,1.551
Celda #(F1+F2),Untitled 000,1.477
Puntual Noroeste,Untitled 000,1.496
Barren Patios,Untitled 000,1.255
Tubo 3,Untitled 000,1.403
Comp. Cola Columna,Untitled 000,1.251
Barren,Untitled 000,1.21
Celda # 11-A,Untitled 000,0.06
Celda # 11-B,Untitled 000,0.044
Celda # 11-C,Untitled 000,0.348
Celda # 6-F2,Untitled 000,0.028
Celda #5-9,Untitled 000,0.16
NE Tubo 1,Untitled 000,0.023
NE Tubo 2,Untitled 000,0.176
NE Tubo 4,Untitled 000,3.354
NE Tubo 5,Untitled 000,1.524
NE Tubo 6,Untitled 000,0.218
NE Tubo 7,Untitled 000,1.53
Barren Patios,Untitled 000,1.255
Especial 1,Untitled 000,0.06
Especial 2,Untitled 000,0.029
Especial 3,Untitled 000,0.074
Especial 4,Untitled 000,0.09
Especial 5,Untitled 000,0.063
