Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.915
Comp. Cola Columna,Untitled 000,0.372
Barren,Untitled 000,0.371
Cabeza puntual retorno,Untitled 000,0.923
Celda # 11-A,Untitled 000,0.102
Celda # 11-B,Untitled 000,0.080
Celda # 11-C,Untitled 000,0.062
Celda # 6-F2,Untitled 000,0.230
Celda #5-9,Untitled 000,0.042
Celda #(F1+F2),Untitled 000,0.885
NE Tubo 1,Untitled 000,0.027
NE Tubo 2,Untitled 000,0.314
NE Tubo 4,Untitled 000,0.745
NE Tubo 5,Untitled 000,0.268
NE Tubo 6,Untitled 000,0.162
NE Tubo 7,Untitled 000,0.764
Puntual Noroeste,Untitled 000,0.854
Barren Patios,Untitled 000,0.356
Tubo 3,Untitled 000,1.356
Especial 1,Untitled 000,0.072
Especial 2,Untitled 000,0.050
Especial 3,Untitled 000,0.104
Especial 4,Untitled 000,0.138
Especial 5,Untitled 000,0.041
