Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.401
Cabeza puntual retorno,Untitled 000,0.395
Celda #(F1+F2),Untitled 000,0.606
Puntual Noroeste,Untitled 000,0.669
Tubo 3,Untitled 000,0.278
NE Tubo 2,Untitled 000,0.063
NE Tubo 4,Untitled 000,0.122
Especial 1,Untitled 000,0.144
Especial 2,Untitled 000,0.528
Especial 3,Untitled 000,0.036
Especial 4,Untitled 000,0.038
Especial 5,Untitled 000,0.236
Columna #1,Untitled 000,0.37
Columna #2,Untitled 000,0.369
Columna #3,Untitled 000,0.298
Columna #4,Untitled 000,0.232
Columna #5,Untitled 000,0.184
Comp. Cola Columna,Untitled 000,0.15
Barren,Untitled 000,0.133
Barren Patios,Untitled 000,0.146
NE Tubo 1,Untitled 000,0.027
NE Tubo 5,Untitled 000,1.013
NE Tubo 6,Untitled 000,2.581
NE Tubo 7,Untitled 000,0.422
Celda # 11-A,Untitled 000,0.038
Celda # 11-B,Untitled 000,0.071
Celda # 11-C,Untitled 000,0.188
Celda #5-9,Untitled 000,0.16
