Analyst,,,,,,
Date Started,4/5/2025 9:23 PM  GMT: 4/6/2025 4:23 AM,,,,,
Worksheet,LC004162_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/5/2025,9:36:08 PM,PATRON,0.9078,,mg/L,0.5
4/5/2025,9:36:20 PM,BLANCO,0.0157,,mg/L,2.5
4/5/2025,9:36:30 PM,REAGENT BLANK,0,,mg/L,9.1
4/5/2025,9:36:44 PM,LC004162-001,OVER,R,mg/L,0
4/5/2025,9:36:56 PM,LC004162-002,OVER,R,mg/L,0
4/5/2025,9:37:10 PM,LC004162-003,0.1237,,mg/L,1.8
4/5/2025,9:37:24 PM,LC004162-004,0.1003,,mg/L,0.8
4/5/2025,9:37:38 PM,LC004162-005,0.1543,,mg/L,1.1
4/5/2025,9:37:52 PM,LC004162-006,0.1969,,mg/L,1.5
4/5/2025,9:38:04 PM,PATRON,0.8864,,mg/L,0.8
4/5/2025,9:38:18 PM,LC004162-007,0.1311,,mg/L,0.2
4/5/2025,9:38:32 PM,LC004162-008,0.0446,,mg/L,2.1
4/5/2025,9:38:46 PM,LC004162-009,0.1052,,mg/L,0.3
4/5/2025,9:39:00 PM,LC004162-010,0.0508,,mg/L,0.8
4/5/2025,9:39:14 PM,LC004162-011,0.0068,,mg/L,11.5
4/5/2025,9:39:28 PM,LC004162-012,0.0518,,mg/L,0.8
4/5/2025,9:39:54 PM,LC004162-013,0.0075,,mg/L,4.8
4/5/2025,9:47:04 PM,PATRON,0.9022,,mg/L,1
4/5/2025,9:47:28 PM,LC004162-014,0.0107,,mg/L,15.2
4/5/2025,9:47:42 PM,LC004162-015,0.0469,,mg/L,1.8
4/5/2025,9:47:56 PM,LC004162-016,0.0428,,mg/L,3.1
4/5/2025,9:48:10 PM,LC004162-017,0.0296,,mg/L,2.2
4/5/2025,9:48:24 PM,LC004162-018,0.0813,,mg/L,0.9
4/5/2025,9:48:38 PM,PATRON,0.8788,,mg/L,0.6
4/5/2025,9:48:54 PM,LC004162-019,0.118,,mg/L,0.7
4/5/2025,9:49:08 PM,LC004162-020,0.087,,mg/L,1.3
4/5/2025,9:49:28 PM,LC004162-021,0.081,,mg/L,1.2
4/5/2025,9:49:42 PM,LC004162-022,0.0584,,mg/L,2.7
4/5/2025,9:49:58 PM,LC004162-023,0.93,,mg/L,0.4
4/5/2025,9:50:28 PM,LC004162-024,0.1141,,mg/L,1
4/5/2025,9:50:40 PM,PATRON,0.8926,,mg/L,0.7
4/5/2025,9:50:50 PM,PATRON,0.9032,,mg/L,1.4
4/5/2025,9:51:04 PM,BLANCO,0.0317,,mg/L,11.3
4/5/2025,9:51:18 PM,REAGENT BLANK,0,,mg/L,4.7
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
4/5/2025,9:54:42 PM,LC004162-001,3.5305,,mg/L,0.8
4/5/2025,9:54:56 PM,LC004162-002,4.5609,,mg/L,0.5
4/5/2025,9:54:56 PM,LC004162-003,,,mg/L,
