"Analista",""
"Fecha de inicio","30/12/2025 08:33 p. m.  GMT: 31/12/2025 03:33 a. m."
"Hoja de trabajo","LC006094"
"Comentario",""
"Métodos","Au"

"Método: Au ACIDO (Llama)"

"30/12/2025","08:49:24 p. m.","PATRON",0.9118,"","mg/L",1.7
"30/12/2025","08:49:42 p. m.","BLANCO",-0.0050,"","mg/L",74.6
"30/12/2025","08:49:58 p. m.","REAGENT BLANK",0.0000,"","mg/L",47.1
"30/12/2025","08:50:16 p. m.","LC006094-001",0.0237,"","mg/L",6.4
"30/12/2025","08:50:30 p. m.","LC006094-002",0.0864,"","mg/L",2.8
"30/12/2025","08:51:10 p. m.","LC006094-003",0.0511,"","mg/L",3.1
"30/12/2025","08:51:24 p. m.","LC006094-004",0.0168,"","mg/L",12.4
"30/12/2025","08:51:44 p. m.","LC006094-005",0.0466,"","mg/L",5.7
"30/12/2025","08:52:00 p. m.","LC006094-006",0.0400,"","mg/L",2.5
"30/12/2025","08:52:26 p. m.","PATRON",0.8803,"","mg/L",1.7
"30/12/2025","08:52:50 p. m.","LC006094-007",0.0854,"","mg/L",3.3
"30/12/2025","08:53:14 p. m.","LC006094-008",0.1043,"","mg/L",1.1
"30/12/2025","08:53:54 p. m.","LC006094-009",0.1153,"","mg/L",0.6
"30/12/2025","08:54:22 p. m.","LC006094-010",0.0255,"","mg/L",3.9
"30/12/2025","08:54:38 p. m.","LC006094-011",0.0005,"","mg/L",">100"
"30/12/2025","08:54:52 p. m.","LC006094-012",0.0260,"","mg/L",6.4
"30/12/2025","08:55:14 p. m.","PATRON",0.8853,"","mg/L",1.0
"30/12/2025","08:55:32 p. m.","LC006094-013",0.0256,"","mg/L",8.9
"30/12/2025","08:55:46 p. m.","LC006094-014",0.0329,"","mg/L",4.3
"30/12/2025","08:56:02 p. m.","LC006094-015",0.0533,"","mg/L",3.2
"30/12/2025","08:56:20 p. m.","LC006094-016",0.0343,"","mg/L",4.0
"30/12/2025","08:56:40 p. m.","LC006094-017",0.0406,"","mg/L",4.6
"30/12/2025","08:57:10 p. m.","LC006094-018",0.0659,"","mg/L",3.1
"30/12/2025","08:57:26 p. m.","PATRON",0.8914,"","mg/L",1.1
"30/12/2025","08:57:50 p. m.","LC006094-019",0.0452,"","mg/L",1.6
"30/12/2025","08:58:06 p. m.","LC006094-020",0.0049,"","mg/L",29.4
"30/12/2025","08:58:20 p. m.","LC006094-021",0.0977,"","mg/L",1.9
"30/12/2025","08:58:36 p. m.","LC006094-022",0.1320,"","mg/L",0.9
"30/12/2025","08:58:52 p. m.","LC006094-023",0.1044,"","mg/L",1.9
"30/12/2025","08:59:10 p. m.","LC006094-024",0.0069,"","mg/L",26.0
"30/12/2025","08:59:54 p. m.","PATRON",0.8815,"","mg/L",0.6
"30/12/2025","09:00:14 p. m.","BLANCO",-0.0015,"","mg/L",">100"
"30/12/2025","09:00:28 p. m.","REAGENT BLANK",0.0000,"","mg/L",28.5
"30/12/2025","09:00:28 p. m.","","","","mg/L",""
