Analista,,,,,,
Fecha de inicio,10/12/2025 09:14 a. m.  GMT: 10/12/2025 04:14 p. m.,,,,,
Hoja de trabajo,EXP000171_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
10/12/2025,09:40:58 a. m.,PATRON,0.9233,,mg/L,0.7
10/12/2025,09:41:12 a. m.,BLANCO,0.0064,,mg/L,54.3
10/12/2025,09:41:24 a. m.,REAGENT BLANK,0,,mg/L,>100
10/12/2025,09:41:40 a. m.,EXP000171-001,0.0455,,mg/L,4.9
10/12/2025,09:41:52 a. m.,EXP000171-002,0.0012,,mg/L,46
10/12/2025,09:42:04 a. m.,EXP000171-003,OVER,R,mg/L,0
10/12/2025,09:42:18 a. m.,EXP000171-004,0.0385,,mg/L,4.7
10/12/2025,09:42:32 a. m.,EXP000171-005,0.0508,,mg/L,3.3
10/12/2025,09:42:54 a. m.,EXP000171-006,0.0189,,mg/L,13.8
10/12/2025,09:43:08 a. m.,PATRON,0.9049,,mg/L,0.9
10/12/2025,09:43:24 a. m.,EXP000171-007,0.477,,mg/L,1
10/12/2025,09:43:38 a. m.,EXP000171-008,0.2149,,mg/L,0.7
10/12/2025,09:43:52 a. m.,EXP000171-009,0.2556,,mg/L,0.8
10/12/2025,09:44:56 a. m.,EXP000171-010,0.1807,,mg/L,1
10/12/2025,09:45:10 a. m.,EXP000171-011,0.3908,,mg/L,0.4
10/12/2025,09:45:26 a. m.,EXP000171-012,0.5282,,mg/L,0.7
10/12/2025,09:45:54 a. m.,PATRON,0.9056,,mg/L,0.4
10/12/2025,09:46:08 a. m.,EXP000171-013,0.6698,,mg/L,0.3
10/12/2025,09:46:22 a. m.,EXP000171-014,0.2485,,mg/L,0.2
10/12/2025,09:46:34 a. m.,EXP000171-015,0.1179,,mg/L,0.1
10/12/2025,09:46:58 a. m.,PATRON,0.9155,,mg/L,0.5
10/12/2025,09:47:12 a. m.,BLANCO,0.0018,,mg/L,79.7
10/12/2025,09:47:28 a. m.,REAGENT BLANK,0,,mg/L,>100
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
,,,,,,
,,,,,,
10/12/2025,09:49:40 a. m.,EXP000171-003,2.0249,,mg/L,0.6
