Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,2.694
Comp. Cola Columna,Untitled 000,1.598
Barren,Untitled 000,1.301
Cabeza puntual retorno,Untitled 000,2.690
Celda # 11-A,Untitled 000,3.406
Celda # 11-B,Untitled 000,7.664
Celda # 11-C,Untitled 000,0.800
Celda # 6-F2,Untitled 000,0.055
Celda #5-9,Untitled 000,0.038
Celda #(F1+F2),Untitled 000,1.206
NE Tubo 1,Untitled 000,0.907
NE Tubo 2,Untitled 000,0.778
NE Tubo 4,Untitled 000,1.970
NE Tubo 5,Untitled 000,1.568
NE Tubo 6,Untitled 000,0.314
NE Tubo 7,Untitled 000,1.453
Puntual Noroeste,Untitled 000,1.266
Tubo 3,Untitled 000,1.087
Especial 1,Untitled 000,0.072
Especial 2,Untitled 000,0.042
Especial 3,Untitled 000,0.113
Especial 4,Untitled 000,0.072
Especial 5,Untitled 000,0.065
