"Analista",""
"Fecha de inicio","8/17/2023 6:09 AM  GMT: 8/17/2023 1:09 PM"
"Hoja de trabajo","LC000996-RCK_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"8/17/2023","6:12:54 AM","PATRON",0.8743,"","mg/L"
"8/17/2023","6:13:10 AM","BLANCO",0.0343,"","mg/L"
"8/17/2023","6:13:20 AM","BLANCO REACTIVO REAG",0.0074,"","mg/L"
"8/17/2023","6:18:40 AM","LC000996-001","OVER","R","mg/L"
"8/17/2023","6:18:50 AM","LC000996-002","OVER","R","mg/L"
"8/17/2023","6:19:00 AM","LC000996-003","OVER","R","mg/L"
"8/17/2023","6:19:32 AM","LC000996-005",0.4501,"","mg/L"
"8/17/2023","6:19:52 AM","PATRON",0.8872,"","mg/L"
"8/17/2023","6:20:10 AM","BLANCO",0.0376,"","mg/L"
"8/17/2023","6:20:20 AM","BLANCO REACTIVO REAG",0.0154,"","mg/L"
"8/17/2023","6:21:12 AM","LC000996-004",0.0096,"","mg/L"
"8/17/2023","6:21:12 AM","LC000987-009","","","mg/L"
"8/17/2023","6:25:04 AM","LC000987-008","","","mg/L"

"Método: Au AU ALTO (Llama)"


"8/17/2023","6:24:00 AM","LC000996-001",3.3645,"","mg/L"
"8/17/2023","6:24:16 AM","LC000996-002",2.3866,"","mg/L"
"8/17/2023","6:24:36 AM","LC000996-003",2.1237,"","mg/L"
"8/17/2023","6:24:38 AM","LC000987-009","","","mg/L"
