Analyst,,,,,,
Date Started,3/19/2025 8:04 PM  GMT: 3/20/2025 3:04 AM,,,,,
Worksheet,LC004030_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/19/2025,8:18:30 PM,PATRON,0.8739,,mg/L,0.7
3/19/2025,8:18:46 PM,BLANCO,0.01,,mg/L,14.8
3/19/2025,8:18:54 PM,REAGENT BLANK,0,,mg/L,19
3/19/2025,8:19:18 PM,LC004030-001,0.4403,,mg/L,1.2
3/19/2025,8:19:36 PM,LC004030-002,0.0701,,mg/L,0.7
3/19/2025,8:19:52 PM,LC004030-003,0.0803,,mg/L,1.1
3/19/2025,8:20:06 PM,LC004030-004,0.4479,,mg/L,0.1
3/19/2025,8:20:24 PM,LC004030-005,0.0365,,mg/L,2
3/19/2025,8:20:40 PM,LC004030-006,0.0418,,mg/L,5.9
3/19/2025,8:21:00 PM,PATRON,0.887,,mg/L,0.7
3/19/2025,8:21:20 PM,LC004030-007,0.0411,,mg/L,6.2
3/19/2025,8:21:36 PM,LC004030-008,0.0589,,mg/L,1.7
3/19/2025,8:21:52 PM,LC004030-009,0.1195,,mg/L,1
3/19/2025,8:22:08 PM,LC004030-010,0.6783,,mg/L,0.2
3/19/2025,8:22:22 PM,LC004030-011,0.4082,,mg/L,0.9
3/19/2025,8:22:40 PM,LC004030-012,0.0077,,mg/L,16.2
3/19/2025,8:22:56 PM,PATRON,0.8913,,mg/L,1.1
3/19/2025,8:23:14 PM,LC004030-013,0.0083,,mg/L,14.7
3/19/2025,8:23:28 PM,LC004030-014,0.0099,,mg/L,11
3/19/2025,8:23:42 PM,LC004030-015,0.2062,,mg/L,1
3/19/2025,8:23:58 PM,LC004030-016,0.1727,,mg/L,1
3/19/2025,8:24:12 PM,LC004030-017,OVER,R,mg/L,0
3/19/2025,8:29:52 PM,PATRON,0.8798,,mg/L,0.6
3/19/2025,8:30:12 PM,BLANCO,-0.001,,mg/L,>100
3/19/2025,8:30:22 PM,REAGENT BLANK,0,,mg/L,30.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/19/2025,8:32:50 PM,LC004030-017,2.3417,,mg/L,0.1
