Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.115
Cabeza puntual retorno,Au 242.80,0.115
Celda # 6-F2,Au 242.80,0.015
Celda #5-9,Au 242.80,0.042
Celda #(F1+F2),Au 242.80,0.124
NE Tubo 2,Au 242.80,0.062
NE Tubo 4,Au 242.80,0.164
NE Tubo 5,Au 242.80,0.167
NE Tubo 6,Au 242.80,0.049
NE Tubo 7,Au 242.80,0.142
Puntual Noroeste,Au 242.80,0.124
Tubo 3,Au 242.80,0.124
Especial 1,Au 242.80,0.06
Especial 2,Au 242.80,0.065
Especial 3,Au 242.80,0.017
Especial 4,Au 242.80,0.035
Especial 5,Au 242.80,0.065
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.012
Celda # 11-A,Au 242.80,0.005
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.01
NE Tubo 1,Au 242.80,0.003
Barren Patios,Au 242.80,0.015
