Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.752
Comp. Cola Columna,Untitled 000,0.766
Barren,Untitled 000,0.699
Cabeza puntual retorno,Untitled 000,0.737
Celda # 11-A,Untitled 000,0.061
Celda # 11-B,Untitled 000,0.04
Celda # 11-C,Untitled 000,0.055
Celda #5-9,Untitled 000,2.093
Celda #(F1+F2),Untitled 000,0.7
NE Tubo 1,Untitled 000,0.059
NE Tubo 2,Untitled 000,0.451
NE Tubo 4,Untitled 000,1.535
NE Tubo 5,Untitled 000,0.823
NE Tubo 6,Untitled 000,0.142
NE Tubo 7,Untitled 000,0.346
Puntual Noroeste,Untitled 000,0.605
Barren Patios,Untitled 000,0.621
Tubo 3,Untitled 000,0.437
Especial 1,Untitled 000,0.309
Especial 2,Untitled 000,0.183
Especial 3,Untitled 000,0.062
Especial 4,Untitled 000,0.066
Especial 5,Untitled 000,0.58
Especial 6,Untitled 000,0.381
