Analista,JUDAS,,,,
Fecha de inicio,8/24/2023 10:51 PM  GMT: 8/25/2023 5:51 AM,,,,
Hoja de trabajo,LC001043_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/24/2023,11:18:16 PM,PATRON,0.9079,,mg/L
8/24/2023,11:18:36 PM,BLANCO,0.02,,mg/L
8/24/2023,11:18:50 PM,BLANCO REACTIVO REAG,0.0021,,mg/L
8/24/2023,11:19:04 PM,LC001043-001,0.0658,,mg/L
8/24/2023,11:19:22 PM,LC001043-002,0.0439,,mg/L
8/24/2023,11:19:40 PM,LC001043-003,0.0654,,mg/L
8/24/2023,11:33:22 PM,LC001043-004,0.1194,,mg/L
8/24/2023,11:33:32 PM,LC001043-005,0.1206,,mg/L
8/24/2023,11:34:24 PM,LC001043-006,0.4498,,mg/L
8/24/2023,11:23:26 PM,PATRON,0.9256,,mg/L
8/24/2023,11:23:48 PM,LC001043-007,0.0929,,mg/L
8/24/2023,11:24:00 PM,LC001043-008,0.0107,,mg/L
8/24/2023,11:24:20 PM,LC001043-009,0.2045,,mg/L
8/24/2023,11:24:34 PM,LC001043-010,0.2588,,mg/L
8/24/2023,11:24:48 PM,LC001043-011,0.088,,mg/L
8/24/2023,11:25:02 PM,LC001043-012,0.096,,mg/L
8/24/2023,11:25:20 PM,PATRON,0.9202,,mg/L
8/24/2023,11:25:34 PM,LC001043-013,0.0915,,mg/L
8/24/2023,11:25:52 PM,LC001043-014,0.0915,,mg/L
8/24/2023,11:26:04 PM,LC001043-015,0.4333,,mg/L
8/24/2023,11:26:18 PM,LC001043-016,0.315,,mg/L
8/24/2023,11:26:32 PM,LC001043-017,0.4635,,mg/L
8/24/2023,11:26:40 PM,LC001043-018,OVER,R,mg/L
8/24/2023,11:28:24 PM,PATRON,0.8932,,mg/L
8/24/2023,11:28:46 PM,LC001043-019,0.693,,mg/L
8/24/2023,11:28:58 PM,LC001043-020,0.159,,mg/L
8/24/2023,11:29:12 PM,LC001043-021,0.2054,,mg/L
8/24/2023,11:29:28 PM,LC001043-022,0.0177,,mg/L
8/24/2023,11:29:42 PM,LC001043-023,0.0981,,mg/L
8/24/2023,11:29:58 PM,LC001043-024,0.4486,,mg/L
8/24/2023,11:30:22 PM,PATRON,0.9115,,mg/L
8/24/2023,11:34:26 PM,PATRON,,,mg/L
8/24/2023,11:36:02 PM,DUP,0.0851,,mg/L
8/24/2023,11:36:18 PM,BCO,0.0041,,mg/L
8/24/2023,11:36:18 PM,ESP SE-PLT-AL12-486676,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
,,,,,
,,,,,
8/24/2023,11:39:04 PM,LC001043-018,1.7133,,mg/L
8/24/2023,11:39:04 PM,ESP SE-PLT-AL12-486676,,,mg/L
