"Analista","EVE"
"Fecha de inicio","28/01/2026 03:14 a. m.  GMT: 28/01/2026 10:14 a. m."
"Hoja de trabajo","LC006242"
"Comentario",""
"Métodos","Au,Au"

"Método: Au ACIDO (Llama)"

"28/01/2026","03:37:18 a. m.","PATRON",0.9008,"","mg/L",1.1
"28/01/2026","03:37:32 a. m.","BLANCO",0.0013,"","mg/L",">100"
"28/01/2026","03:37:48 a. m.","REAGENT BLANK",0.0000,"","mg/L",">100"
"28/01/2026","03:38:06 a. m.","LC006242-001",0.2039,"","mg/L",0.7
"28/01/2026","03:38:22 a. m.","LC006242-002",0.1229,"","mg/L",0.6
"28/01/2026","03:38:40 a. m.","LC006242-003",0.9771,"","mg/L",0.5
"28/01/2026","03:39:14 a. m.","LC006242-005",0.5475,"","mg/L",1.1
"28/01/2026","03:39:30 a. m.","LC006242-006",0.0058,"","mg/L",11.8
"28/01/2026","03:39:52 a. m.","PATRON",0.9044,"","mg/L",1.1
"28/01/2026","03:40:34 a. m.","LC006242-004",0.0053,"","mg/L",9.6
"28/01/2026","03:40:42 a. m.","LC006242-007","OVER","R","mg/L",0.0
"28/01/2026","03:41:06 a. m.","LC006242-008",1.2755,"","mg/L",0.5
"28/01/2026","03:41:24 a. m.","LC006242-009",1.4542,"","mg/L",0.0
"28/01/2026","03:41:42 a. m.","LC006242-010",0.1548,"","mg/L",1.6
"28/01/2026","03:41:58 a. m.","LC006242-011",0.2048,"","mg/L",0.4
"28/01/2026","03:42:18 a. m.","PATRON",0.8896,"","mg/L",0.1
"28/01/2026","03:42:48 a. m.","REAGENT BLANK",0.0000,"","mg/L",26.7
"28/01/2026","03:43:12 a. m.","BLANCO",-0.0033,"","mg/L",">100"
"28/01/2026","03:43:12 a. m.","","","","mg/L",""

"Método: Au AU ALTO (Llama)"


"28/01/2026","03:46:44 a. m.","PATRON",0.8978,"","mg/L",0.7
"28/01/2026","03:46:56 a. m.","BLANCO",-0.0072,"","mg/L",20.6
"28/01/2026","03:47:06 a. m.","REAGENT BLANK",0.0000,"","mg/L",">100"
"28/01/2026","03:47:22 a. m.","LC006242-007",2.0156,"","mg/L",0.4
"28/01/2026","03:47:22 a. m.","","","","mg/L",""
