Analyst,,,,,,
Date Started,4/27/2025 4:46 AM  GMT: 4/27/2025 11:46 AM,,,,,
Worksheet,LC004317_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/27/2025,5:02:38 AM,PATRON,0.9003,,mg/L,0.9
4/27/2025,5:02:52 AM,BLANCO,-0.0025,,mg/L,52.7
4/27/2025,5:03:00 AM,REAGENT BLANK,0,,mg/L,31.3
4/27/2025,5:03:22 AM,LC004317-001,0.133,,mg/L,1.1
4/27/2025,5:03:38 AM,LC004317-002,0.1173,,mg/L,0.1
4/27/2025,5:03:54 AM,LC004317-003,0.1126,,mg/L,0.9
4/27/2025,5:04:08 AM,LC004317-004,0.0065,,mg/L,7.3
4/27/2025,5:04:24 AM,LC004317-005,0.1285,,mg/L,1.5
4/27/2025,5:04:38 AM,LC004317-006,0.1106,,mg/L,1.3
4/27/2025,5:04:54 AM,PATRON,0.907,,mg/L,0.4
4/27/2025,5:05:08 AM,LC004317-007,1.8986,,mg/L,0.5
4/27/2025,5:05:22 AM,LC004317-008,0.1702,,mg/L,0.2
4/27/2025,5:05:38 AM,LC004317-009,0.0112,,mg/L,15.4
4/27/2025,5:05:52 AM,LC004317-010,0.1027,,mg/L,3.2
4/27/2025,5:06:06 AM,LC004317-011,0.3955,,mg/L,0.3
4/27/2025,5:06:20 AM,LC004317-012,0.1147,,mg/L,1.9
4/27/2025,5:06:38 AM,PATRON,0.9144,,mg/L,0.3
4/27/2025,5:06:52 AM,LC004317-013,0.1501,,mg/L,1.9
4/27/2025,5:07:06 AM,LC004317-014,0.1271,,mg/L,0.6
4/27/2025,5:07:22 AM,LC004317-015,0.1693,,mg/L,1.3
4/27/2025,5:07:36 AM,LC004317-016,0.0141,,mg/L,5.3
4/27/2025,5:07:52 AM,LC004317-017,0.5492,,mg/L,0.2
4/27/2025,5:08:08 AM,LC004317-018,0.2327,,mg/L,0.9
4/27/2025,5:08:22 AM,PATRON,0.9088,,mg/L,0.9
4/27/2025,5:08:38 AM,LC004317-019,0.151,,mg/L,1.3
4/27/2025,5:08:52 AM,LC004317-020,0.0964,,mg/L,1
4/27/2025,5:09:06 AM,LC004317-021,0.0882,,mg/L,1.3
4/27/2025,5:09:22 AM,LC004317-022,0.0915,,mg/L,2.2
4/27/2025,5:09:36 AM,LC004317-023,0.0315,,mg/L,1.6
4/27/2025,5:09:52 AM,LC004317-024,0.9228,,mg/L,0.6
4/27/2025,5:10:08 AM,PATRON,0.9138,,mg/L,1.1
4/27/2025,5:10:16 AM,PATRON,0.9174,,mg/L,0.5
4/27/2025,5:11:50 AM,BLANCO,0.0034,,mg/L,33.4
4/27/2025,5:12:00 AM,REAGENT BLANK,0,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
