Analista,,,,,,
Fecha de inicio,11/11/2025 12:52 a. m.  GMT: 11/11/2025 07:52 a. m.,,,,,
Hoja de trabajo,LC005757_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
11/11/2025,01:49:32 a. m.,PATRON,0.8808,,mg/L,0.2
11/11/2025,01:49:46 a. m.,BLANCO,0.0035,,mg/L,23.3
11/11/2025,01:50:14 a. m.,REAGENT BLANK,0,,mg/L,77.6
11/11/2025,01:50:36 a. m.,LC005757-001,0.4109,,mg/L,0.2
11/11/2025,01:50:50 a. m.,LC005757-002,0.0036,,mg/L,14.8
11/11/2025,01:51:04 a. m.,LC005757-003,0.0063,,mg/L,8.4
11/11/2025,01:51:30 a. m.,LC005757-004,0.2056,,mg/L,0.1
11/11/2025,01:51:44 a. m.,LC005757-005,0.0624,,mg/L,3.2
11/11/2025,01:51:58 a. m.,LC005757-006,0.0611,,mg/L,0.4
11/11/2025,01:52:12 a. m.,PATRON,0.8751,,mg/L,0.8
11/11/2025,01:52:26 a. m.,LC005757-007,1.1177,,mg/L,0.4
11/11/2025,01:52:38 a. m.,LC005757-008,0.0722,,mg/L,1
11/11/2025,01:53:00 a. m.,LC005757-009,0.0568,,mg/L,3.9
11/11/2025,01:53:14 a. m.,LC005757-010,1.0304,,mg/L,0.4
11/11/2025,01:53:28 a. m.,PATRON,0.873,,mg/L,0.5
11/11/2025,01:53:42 a. m.,BLANCO,0.0145,,mg/L,57.6
11/11/2025,01:53:52 a. m.,REAGENT BLANK,0,,mg/L,61.2
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
