Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,,0.128
Comp. Cola Columna,,0.009
Barren,,0.014
Cabeza puntual retorno,,0.133
Columna #1,,0.091
Columna #2,,0.054
Columna #3,,0.028
Columna #4,,0.024
Columna #5,,0.012
Celda # 11-A,,0.051
Celda # 11-B,,0.023
Celda # 11-C,,0.004
Celda #5-9,,0.019
Celda #(F1+F2),,0.133
NE Tubo 1,,0.002
NE Tubo 2,,0.111
NE Tubo 4,,0.089
NE Tubo 5,,0.063
NE Tubo 6,,0.061
NE Tubo 7,,0.134
Puntual Noroeste,,0.143
Barren Patios,,0.014
Tubo 3,,0.202
Especial 1,,0.121
Especial 2,,0.051
Especial 3,,0.156
Especial 4,,0.14
Especial 5,,0.05
