Analyst,,,,,,
Date Started,8/2/2025 5:19 AM  GMT: 8/2/2025 12:19 PM,,,,,
Worksheet,LC005086_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
8/2/2025,5:55:38 AM,PATRON,0.8966,,mg/L,0.3
8/2/2025,5:56:08 AM,REAGENT BLANK,0,,mg/L,6
8/2/2025,5:57:50 AM,BLANCO,0.0187,,mg/L,36.9
8/2/2025,5:58:16 AM,LC005086-001,0.172,,mg/L,1.3
8/2/2025,5:58:30 AM,LC005086-002,0.0154,,mg/L,25.1
8/2/2025,5:58:48 AM,LC005086-003,0.0236,,mg/L,2.6
8/2/2025,5:59:04 AM,LC005086-004,0.0508,,mg/L,1.1
8/2/2025,5:59:20 AM,LC005086-005,0.1633,,mg/L,2.4
8/2/2025,5:59:34 AM,LC005086-006,0.0116,,mg/L,38.2
8/2/2025,6:02:30 AM,PATRON,0.8987,,mg/L,0.7
8/2/2025,6:02:56 AM,LC005086-007,0.1518,,mg/L,1.5
8/2/2025,6:03:12 AM,LC005086-008,0.0527,,mg/L,5.8
8/2/2025,6:03:26 AM,LC005086-009,0.4542,,mg/L,0.6
8/2/2025,6:03:44 AM,LC005086-010,0.1152,,mg/L,2.5
8/2/2025,6:04:02 AM,LC005086-011,0.0661,,mg/L,2.8
8/2/2025,6:04:16 AM,LC005086-012,0.1166,,mg/L,2
8/2/2025,6:04:32 AM,PATRON,0.9098,,mg/L,1.6
8/2/2025,6:04:50 AM,LC005086-013,0.0919,,mg/L,1.9
8/2/2025,6:05:04 AM,LC005086-014,0.0574,,mg/L,5.7
8/2/2025,6:05:20 AM,LC005086-015,0.1814,,mg/L,0.9
8/2/2025,6:05:38 AM,LC005086-016,0.172,,mg/L,1.9
8/2/2025,6:05:54 AM,LC005086-017,0.1813,,mg/L,1.9
8/2/2025,6:06:10 AM,LC005086-018,0.0135,,mg/L,4
8/2/2025,6:07:22 AM,PATRON,0.8842,,mg/L,0.4
8/2/2025,6:07:40 AM,LC005086-019,0.3871,,mg/L,0.5
8/2/2025,6:08:00 AM,PATRON,0.8856,,mg/L,0.4
8/2/2025,6:08:12 AM,BLANCO,0.0178,,mg/L,75.8
8/2/2025,6:08:24 AM,REAGENT BLANK,0,,mg/L,44.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
