Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.381
Comp. Cola Columna,Untitled 000,0.283
Barren,Untitled 000,0.273
Cabeza puntual retorno,Untitled 000,0.399
Celda # 11-A,Untitled 000,0.13
Celda # 11-B,Untitled 000,0.121
Celda # 11-C,Untitled 000,0.036
Celda # 6-F2,Untitled 000,0.059
Celda #5-9,Untitled 000,0.886
Celda #(F1+F2),Untitled 000,0.404
NE Tubo 1,Untitled 000,0.018
NE Tubo 2,Untitled 000,0.359
NE Tubo 4,Untitled 000,0.087
NE Tubo 5,Untitled 000,0.013
NE Tubo 6,Untitled 000,0.013
NE Tubo 7,Untitled 000,0.305
Puntual Noroeste,Untitled 000,0.368
Barren Patios,Untitled 000,0.237
Tubo 3,Untitled 000,0.899
Especial 1,Untitled 000,0.087
Especial 2,Untitled 000,0.165
Especial 3,Untitled 000,0.039
Especial 4,Untitled 000,0.038
Especial 5,Untitled 000,0.359
Especial 6,Untitled 000,0.021
