Analyst,CD,,,,,
Date Started,3/29/2025 12:39 AM  GMT: 3/29/2025 7:39 AM,,,,,
Worksheet,LC004106_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/29/2025,12:54:48 AM,PATRON,0.907,,mg/L,0.8
3/29/2025,12:55:02 AM,BLANCO,0.0053,,mg/L,51.3
3/29/2025,12:55:12 AM,REAGENT BLANK,0,,mg/L,>100
3/29/2025,12:55:26 AM,LC004106-001,0.1451,,mg/L,0.5
3/29/2025,12:55:38 AM,LC004106-002,0.3492,,mg/L,0.3
3/29/2025,12:55:46 AM,LC004106-003,OVER,R,mg/L,0
3/29/2025,12:56:00 AM,LC004106-004,0.1293,,mg/L,1.7
3/29/2025,12:56:12 AM,LC004106-005,0.2009,,mg/L,1.6
3/29/2025,12:56:24 AM,LC004106-006,0.079,,mg/L,3.4
3/29/2025,12:56:36 AM,PATRON,0.8987,,mg/L,0.9
3/29/2025,12:56:52 AM,LC004106-007,0.6608,,mg/L,0.6
3/29/2025,12:57:04 AM,LC004106-008,0.1805,,mg/L,0.3
3/29/2025,12:57:16 AM,LC004106-009,0.0325,,mg/L,1.3
3/29/2025,12:57:30 AM,LC004106-010,0.0001,,mg/L,1.2
3/29/2025,12:58:12 AM,PATRON,0.8981,,mg/L,1.1
3/29/2025,12:58:26 AM,LC004106-013,0.1073,,mg/L,0.9
3/29/2025,12:58:36 AM,LC004106-014,0.5084,,mg/L,0.7
3/29/2025,12:58:48 AM,LC004106-015,0.0502,,mg/L,1.5
3/29/2025,12:59:00 AM,LC004106-016,0.0024,,mg/L,18.3
3/29/2025,12:59:12 AM,LC004106-017,0.0834,,mg/L,0.8
3/29/2025,12:59:22 AM,LC004106-018,0.0295,,mg/L,2.3
3/29/2025,12:59:36 AM,PATRON,0.9081,,mg/L,1
3/29/2025,12:59:50 AM,LC004106-019,0.3964,,mg/L,0.5
3/29/2025,1:00:00 AM,LC004106-020,0.13,,mg/L,1
3/29/2025,1:00:12 AM,LC004106-021,0.0987,,mg/L,1.1
3/29/2025,1:00:24 AM,LC004106-022,0.6424,,mg/L,0.7
3/29/2025,1:01:46 AM,LC004106-011,0.1072,,mg/L,0.8
3/29/2025,1:01:58 AM,LC004106-012,0.971,,mg/L,1.8
3/29/2025,1:02:10 AM,LC004106-023,0.0038,,mg/L,28.2
3/29/2025,1:02:22 AM,LC004106-024,0.0038,,mg/L,0.8
3/29/2025,1:02:36 AM,PATRON,0.8977,,mg/L,0.3
3/29/2025,1:02:36 AM,PATRON,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/29/2025,1:14:58 AM,LC004106-003,2.813,,mg/L,1.5
3/29/2025,1:14:58 AM,PATRON,,,mg/L,
