Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.893
Comp. Cola Columna,Untitled 000,0.52
Barren,Untitled 000,0.537
Cabeza puntual retorno,Untitled 000,0.899
Celda # 11-A,Untitled 000,0.181
Celda # 11-B,Untitled 000,0.68
Celda # 11-C,Untitled 000,0.11
Celda #5-9,Untitled 000,0.786
Celda #(F1+F2),Untitled 000,0.706
NE Tubo 1,Untitled 000,0.035
NE Tubo 2,Untitled 000,0.264
NE Tubo 4,Untitled 000,0.499
NE Tubo 5,Untitled 000,0.035
NE Tubo 6,Untitled 000,0.055
NE Tubo 7,Untitled 000,1.02
Puntual Noroeste,Untitled 000,1.858
Barren Patios,Untitled 000,0.524
Tubo 3,Untitled 000,0.996
Especial 1,Untitled 000,2.276
Especial 2,Untitled 000,2.693
Especial 3,Untitled 000,0.084
Especial 4,Untitled 000,0.045
Especial 5,Untitled 000,1.437
Especial 6,Untitled 000,0.022
Columna #1,Untitled 000,0.518
Columna #2,Untitled 000,0.479
Columna #3,Untitled 000,0.428
Columna #4,Untitled 000,0.35
Columna #5,Untitled 000,0.333
