Analyst,Judas Orduño,,,,
Date Started,11/06/2023 12:25 AM  GMT: 11/6/2023 12:59 AM,,,,
Worksheet,LC000465_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
11/06/2023,12:25:30 a.m.,PATRON,0.907,,mg/L
11/06/2023,12:25:30 a.m.,BLANCO,-0.019,,mg/L
11/06/2023,12:25:30 a.m.,REAGENT BLANK,-0.005,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-001,0.485,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-002,0.482,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-003,0.227,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-004,0.441,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-005,1.096,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-006,0.952,,mg/L
11/06/2023,12:25:30 a.m.,PATRON,0.926,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-007,1.186,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-008,1.002,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-009,1.037,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-010,1.448,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-011,1.064,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-012,3.220,,mg/L
11/06/2023,12:25:30 a.m.,PATRON,0.898,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-013,0.782,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-014,2.632,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-015,1.554,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-016,1.349,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-017,0.013,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-018,0.883,,mg/L
11/06/2023,12:25:30 a.m.,PATRON,0.889,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-019,0.934,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-020,0.648,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-021,0.450,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-022,0.933,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-023,0.478,,mg/L
11/06/2023,12:25:30 a.m.,LC000465-024,0.541,,mg/L
11/06/2023,12:25:30 a.m.,PATRON,0.898,,mg/L
