Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.084
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.004
Cabeza puntual retorno,Au 242.80,0.083
Celda # 11-A,Au 242.80,0.019
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.001
Celda # 6-F2,Au 242.80,0.185
Celda #5-9,Au 242.80,0.058
Celda #(F1+F2),Au 242.80,0.084
NE Tubo 1,Au 242.80,0.007
NE Tubo 2,Au 242.80,0.138
NE Tubo 4,Au 242.80,0.058
NE Tubo 5,Au 242.80,0.039
NE Tubo 6,Au 242.80,0.012
NE Tubo 7,Au 242.80,0.029
Puntual Noroeste,Au 242.80,0.078
Barren Patios,Au 242.80,0.008
Tubo 3,Au 242.80,0.105
Especial 1,Au 242.80,0.064
Especial 2,Au 242.80,0.047
Especial 3,Au 242.80,0.006
Especial 4,Au 242.80,0.029
Especial 5,Au 242.80,0.046
