Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.304
Cabeza puntual retorno,Untitled 000,0.300
Celda #(F1+F2),Untitled 000,0.318
Puntual Noroeste,Untitled 000,0.189
Tubo 3,Untitled 000,0.215
Comp. Cola Columna,Untitled 000,0.120
Barren,Untitled 000,0.137
Celda # 11-A,Untitled 000,0.531
Celda # 11-B,Untitled 000,0.086
Celda # 11-C,Untitled 000,0.128
Celda #5-9,Untitled 000,0.110
NE Tubo 1,Untitled 000,0.998
NE Tubo 2,Untitled 000,0.068
NE Tubo 4,Untitled 000,0.115
NE Tubo 5,Untitled 000,0.028
NE Tubo 6,Untitled 000,0.259
NE Tubo 7,Untitled 000,0.091
Barren Patios,Untitled 000,0.119
Especial 1,Untitled 000,0.086
Especial 2,Untitled 000,0.223
Especial 3,Untitled 000,0.029
Especial 4,Untitled 000,0.034
Especial 5,Untitled 000,0.132
Columna #1,Untitled 000,0.226
Columna #2,Untitled 000,0.188
Columna #3,Untitled 000,0.155
Columna #4,Untitled 000,0.135
Columna #5,Untitled 000,0.095
