Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.585
Comp. Cola Columna,Untitled 000,0.41
Barren,Untitled 000,0.391
Cabeza puntual retorno,Untitled 000,0.583
Celda # 11-A,Untitled 000,0.048
Celda # 11-B,Untitled 000,0.037
Celda # 11-C,Untitled 000,0.102
Celda #5-9,Untitled 000,1.452
Celda #(F1+F2),Untitled 000,0.558
NE Tubo 1,Untitled 000,0.047
NE Tubo 2,Untitled 000,0.573
NE Tubo 4,Untitled 000,1.035
NE Tubo 5,Untitled 000,0.59
NE Tubo 6,Untitled 000,0.22
NE Tubo 7,Untitled 000,0.195
Puntual Noroeste,Untitled 000,0.505
Tubo 3,Untitled 000,0.433
Especial 1,Untitled 000,0.14
Especial 2,Untitled 000,0.111
Especial 3,Untitled 000,0.076
Especial 4,Untitled 000,0.059
Especial 5,Untitled 000,0.404
Especial 6,Untitled 000,0.041
Columna #1,Untitled 000,0.613
Columna #2,Untitled 000,0.593
Columna #3,Untitled 000,0.57
Columna #4,Untitled 000,0.536
Columna #5,Untitled 000,0.456
