Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.216
Cabeza puntual retorno,Untitled 000,0.220
Celda #(F1+F2),Untitled 000,0.243
Puntual Noroeste,Untitled 000,0.259
Tubo 3,Untitled 000,0.462
Comp. Cola Columna,Untitled 000,0.173
Barren,Untitled 000,0.152
Celda # 11-A,Untitled 000,0.038
Celda # 11-B,Untitled 000,0.028
Celda # 11-C,Untitled 000,0.020
Celda # 6-F2,Untitled 000,0.252
Celda #5-9,Untitled 000,0.093
NE Tubo 1,Untitled 000,0.017
NE Tubo 2,Untitled 000,0.032
NE Tubo 4,Untitled 000,0.172
NE Tubo 5,Untitled 000,0.089
NE Tubo 6,Untitled 000,0.031
NE Tubo 7,Untitled 000,0.235
Barren Patios,Untitled 000,0.122
Especial 1,Untitled 000,0.020
Especial 2,Untitled 000,0.017
Especial 3,Untitled 000,0.140
Especial 4,Untitled 000,0.171
Especial 5,Untitled 000,0.025
