Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.919
Comp. Cola Columna,Untitled 000,0.596
Barren,Untitled 000,0.599
Cabeza puntual retorno,Untitled 000,0.91
Celda # 11-A,Untitled 000,0.17
Celda # 11-B,Untitled 000,1.052
Celda # 11-C,Untitled 000,0.1
Celda #5-9,Untitled 000,0.875
Celda #(F1+F2),Untitled 000,0.945
NE Tubo 1,Untitled 000,0.034
NE Tubo 2,Untitled 000,0.664
NE Tubo 4,Untitled 000,0.314
NE Tubo 5,Untitled 000,0.065
NE Tubo 6,Untitled 000,0.035
NE Tubo 7,Untitled 000,1.807
Puntual Noroeste,Untitled 000,0.755
Barren Patios,Untitled 000,0.518
Tubo 3,Untitled 000,0.793
Especial 1,Untitled 000,1.795
Especial 2,Untitled 000,0.336
Especial 3,Untitled 000,0.044
Especial 4,Untitled 000,0.038
Especial 5,Untitled 000,0.063
Especial 6,Untitled 000,0.015
Columna #1,Untitled 000,0.661
Columna #2,Untitled 000,0.602
Columna #3,Untitled 000,0.559
Columna #4,Untitled 000,0.503
Columna #5,Untitled 000,0.487
