Analyst,,,,,,
Date Started,5/22/2025 11:53 PM  GMT: 5/23/2025 6:53 AM,,,,,
Worksheet,LC004527_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/22/2025,11:57:36 PM,PATRON,0.9002,,mg/L,1
5/22/2025,11:57:48 PM,BLANCO,0.0141,,mg/L,8.8
5/22/2025,11:57:58 PM,REAGENT BLANK,0,,mg/L,18.4
5/22/2025,11:58:10 PM,LC004527-002,0.0431,,mg/L,5.3
5/22/2025,11:58:24 PM,LC004527-003,0.0742,,mg/L,1.9
5/22/2025,11:58:38 PM,LC004527-004,0.1958,,mg/L,0.7
5/22/2025,11:59:04 PM,LC004527-006,0.134,,mg/L,1
5/22/2025,11:59:36 PM,LC004527-007,0.0073,,mg/L,14.8
5/22/2025,11:59:48 PM,LC004527-008,0.0836,,mg/L,2.2
5/23/2025,12:00:02 AM,LC004527-009,0.1404,,mg/L,1
5/23/2025,12:00:14 AM,LC004527-010,0.1534,,mg/L,1.4
5/23/2025,12:00:28 AM,LC004527-011,0.3094,,mg/L,1.1
5/23/2025,12:00:40 AM,LC004527-012,0.0116,,mg/L,12.5
5/23/2025,12:00:52 AM,PATRON,0.8878,,mg/L,0.2
5/23/2025,12:01:04 AM,LC004527-013,0.0546,,mg/L,3.6
5/23/2025,12:01:16 AM,LC004527-014,0.0582,,mg/L,4
5/23/2025,12:01:30 AM,LC004527-015,0.0453,,mg/L,2.8
5/23/2025,12:01:42 AM,LC004527-016,0.1026,,mg/L,1.4
5/23/2025,12:01:56 AM,LC004527-017,0.7811,,mg/L,0.8
5/23/2025,12:02:10 AM,LC004527-018,0.5179,,mg/L,0.6
5/23/2025,12:02:24 AM,PATRON,0.8961,,mg/L,0.6
5/23/2025,12:02:36 AM,LC004527-019,0.0941,,mg/L,2.3
5/23/2025,12:02:50 AM,LC004527-020,0.1051,,mg/L,1.5
5/23/2025,12:03:02 AM,LC004527-021,0.0266,,mg/L,1.3
5/23/2025,12:03:16 AM,LC004527-022,0.1233,,mg/L,0.4
5/23/2025,12:03:28 AM,LC004527-023,0.074,,mg/L,2.5
5/23/2025,12:03:42 AM,PATRON,0.9019,,mg/L,1.1
5/23/2025,12:04:38 AM,PATRON,0.8759,,mg/L,1.7
5/23/2025,12:04:52 AM,BLANCO,0.0083,,mg/L,84.9
5/23/2025,12:05:02 AM,REAGENT BLANK,0,,mg/L,3.8
5/23/2025,12:05:24 AM,LC004527-005,0.1717,,mg/L,0.5
5/23/2025,3:13:20 AM,LC004527-001,0.0443,,mg/L,2.8
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
