Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.350
Cabeza puntual retorno,Untitled 000,0.350
Celda #(F1+F2),Untitled 000,0.393
Puntual Noroeste,Untitled 000,0.435
Tubo 3,Untitled 000,0.356
Comp. Cola Columna,Untitled 000,0.274
Barren,Untitled 000,0.282
Celda # 11-A,Untitled 000,0.047
Celda # 11-B,Untitled 000,0.055
Celda # 11-C,Untitled 000,0.023
Celda #5-9,Untitled 000,0.020
NE Tubo 1,Untitled 000,0.088
NE Tubo 2,Untitled 000,0.330
NE Tubo 4,Untitled 000,0.538
NE Tubo 5,Untitled 000,0.272
NE Tubo 6,Untitled 000,0.197
NE Tubo 7,Untitled 000,0.758
Barren Patios,Untitled 000,0.237
Especial 1,Untitled 000,0.039
Especial 2,Untitled 000,0.032
Especial 3,Untitled 000,0.029
Especial 4,Untitled 000,0.024
Especial 5,Untitled 000,0.016
Columna #1,Untitled 000,0.302
Columna #2,Untitled 000,0.289
Columna #3,Untitled 000,0.277
Columna #4,Untitled 000,0.250
Columna #5,Untitled 000,0.196
