Analyst,,,,,,
Date Started,9/22/2025 2:06 AM  GMT: 9/22/2025 9:06 AM,,,,,
Worksheet,LC005411_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
9/22/2025,2:32:52 AM,PATRON,0.8868,,mg/L,0.4
9/22/2025,2:33:16 AM,BLANCO,0.0175,,mg/L,34
9/22/2025,2:33:28 AM,REAGENT BLANK,0,,mg/L,74.1
9/22/2025,2:34:26 AM,LC005411-001,0.8779,,mg/L,0.3
9/22/2025,2:34:38 AM,LC005411-002,0.0489,,mg/L,4.8
9/22/2025,2:34:52 AM,LC005411-003,0.1225,,mg/L,1.6
9/22/2025,2:35:04 AM,LC005411-004,0.189,,mg/L,0.4
9/22/2025,2:35:16 AM,LC005411-005,0.1436,,mg/L,2.1
9/22/2025,2:35:28 AM,LC005411-006,0.0584,,mg/L,0.1
9/22/2025,2:39:30 AM,PATRON,0.9006,,mg/L,0.9
9/22/2025,2:39:52 AM,LC005411-007,0.0449,,mg/L,2.4
9/22/2025,2:40:04 AM,LC005411-008,0.1079,,mg/L,1.4
9/22/2025,2:40:16 AM,LC005411-009,0.0964,,mg/L,1.9
9/22/2025,2:40:42 AM,LC005411-011,0.1149,,mg/L,1.1
9/22/2025,2:40:54 AM,LC005411-012,0.0106,,mg/L,9.6
9/22/2025,2:41:06 AM,PATRON,0.8893,,mg/L,0.7
9/22/2025,2:41:18 AM,LC005411-013,0.1845,,mg/L,0.7
9/22/2025,2:41:30 AM,LC005411-014,0.0668,,mg/L,1.8
9/22/2025,2:41:42 AM,LC005411-015,0.0046,,mg/L,10.8
9/22/2025,2:41:56 AM,LC005411-016,0.0683,,mg/L,2.5
9/22/2025,2:42:08 AM,LC005411-017,0.1217,,mg/L,2.2
9/22/2025,2:42:20 AM,PATRON,0.8916,,mg/L,0.6
9/22/2025,2:42:32 AM,BLANCO,0.0099,,mg/L,44
9/22/2025,2:42:42 AM,REAGENT BLANK,0,,mg/L,43.2
9/22/2025,2:44:36 AM,LC005411-010,0.0896,,mg/L,2
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
