Analyst,,,,,,
Date Started,9/20/2025 4:26 AM  GMT: 9/20/2025 11:26 AM,,,,,
Worksheet,LC005395_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
9/20/2025,5:06:12 AM,PATRON,0.8888,,mg/L,1.3
9/20/2025,5:06:22 AM,BLANCO,0.0116,,mg/L,7.9
9/20/2025,5:06:32 AM,REAGENT BLANK,0,,mg/L,14.8
9/20/2025,5:06:44 AM,LC005395-001,0.0067,,mg/L,10.1
9/20/2025,5:06:58 AM,LC005395-002,0.0238,,mg/L,4.1
9/20/2025,5:07:10 AM,LC005395-003,0.0213,,mg/L,2.6
9/20/2025,5:07:24 AM,LC005395-004,0.0219,,mg/L,3.2
9/20/2025,5:07:36 AM,LC005395-005,0.0583,,mg/L,1
9/20/2025,5:07:50 AM,LC005395-006,0.0136,,mg/L,5.2
9/20/2025,5:08:04 AM,PATRON,0.882,,mg/L,1.2
9/20/2025,5:08:20 AM,LC005395-007,0.1195,,mg/L,0.2
9/20/2025,5:08:32 AM,LC005395-008,0.0234,,mg/L,5.3
9/20/2025,5:08:46 AM,LC005395-009,0.0101,,mg/L,13.8
9/20/2025,5:08:58 AM,LC005395-010,0.0113,,mg/L,0.8
9/20/2025,5:09:12 AM,LC005395-011,0.0666,,mg/L,0.9
9/20/2025,5:09:24 AM,LC005395-012,0.0899,,mg/L,1.5
9/20/2025,5:09:38 AM,PATRON,0.8837,,mg/L,0.2
9/20/2025,5:09:52 AM,LC005395-013,0.0166,,mg/L,12.1
9/20/2025,5:10:06 AM,LC005395-014,0.0196,,mg/L,3.8
9/20/2025,5:10:18 AM,PATRON,0.8888,,mg/L,0.5
9/20/2025,5:10:58 AM,BLANCO,-0.0015,,mg/L,>100
9/20/2025,5:11:08 AM,REAGENT BLANK,0,,mg/L,3
,,,,,,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
