"Analyst",""
"Date Started","7/21/2025 2:53 AM  GMT: 7/21/2025 9:53 AM"
"Worksheet","LC004993"
"Comment",""
"Methods","Au,Au"

"Method: Au ACIDO (Flame)"

"7/21/2025","2:57:14 AM","PATRON",0.8940,"","mg/L",0.4
"7/21/2025","2:57:28 AM","BLANCO",0.0009,"","mg/L",">100"
"7/21/2025","2:57:42 AM","REAGENT BLANK",0.0000,"","mg/L",0.9
"7/21/2025","2:57:58 AM","LC004993-001",0.1343,"","mg/L",1.4
"7/21/2025","2:58:10 AM","LC004993-002",0.0621,"","mg/L",0.6
"7/21/2025","2:58:24 AM","LC004993-003",0.0022,"","mg/L",88.7
"7/21/2025","2:58:36 AM","LC004993-004",0.4602,"","mg/L",0.7
"7/21/2025","2:58:48 AM","LC004993-005",0.3423,"","mg/L",0.7
"7/21/2025","2:59:42 AM","LC004993-006",0.1844,"","mg/L",0.2
"7/21/2025","2:59:54 AM","PATRON",0.8913,"","mg/L",0.1
"7/21/2025","3:00:08 AM","LC004993-007",0.0607,"","mg/L",2.2
"7/21/2025","3:00:24 AM","LC004993-008",0.0054,"","mg/L",4.7
"7/21/2025","3:00:38 AM","LC004993-009","OVER","R","mg/L",0.0
"7/21/2025","3:00:52 AM","LC004993-010",0.0518,"","mg/L",2.4
"7/21/2025","3:01:06 AM","LC004993-011",0.2826,"","mg/L",0.3
"7/21/2025","3:01:20 AM","LC004993-012",0.2208,"","mg/L",0.2
"7/21/2025","3:01:32 AM","PATRON",0.8927,"","mg/L",0.2
"7/21/2025","3:01:46 AM","LC004993-013",0.0049,"","mg/L",8.1
"7/21/2025","3:02:00 AM","LC004993-014",0.1375,"","mg/L",0.5
"7/21/2025","3:02:14 AM","LC004993-015",0.2089,"","mg/L",0.4
"7/21/2025","3:02:44 AM","LC004993-016",0.9055,"","mg/L",0.4
"7/21/2025","3:02:56 AM","LC004993-017","OVER","R","mg/L",0.0
"7/21/2025","3:03:12 AM","PATRON",0.8997,"","mg/L",0.6
"7/21/2025","3:03:36 AM","REAGENT BLANK",0.0000,"","mg/L",32.5
"7/21/2025","3:03:54 AM","BLANCO",-0.0015,"","mg/L",">100"
"7/21/2025","3:03:54 AM","LC004827-020","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"7/21/2025","3:06:20 AM","LC004993-009",1.7814,"","mg/L",0.8
"7/21/2025","3:06:38 AM","LC004993-017",4.2985,"","mg/L",0.7
"7/21/2025","3:06:38 AM","LC004827-020","","","mg/L",""
