"Analyst",""
"Date Started","3/7/2025 4:08 AM  GMT: 3/7/2025 11:08 AM"
"Worksheet","LC003927_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"3/7/2025","4:53:52 AM","PATRON",0.8924,"","mg/L",1.1
"3/7/2025","4:54:10 AM","BLANCO",-0.0007,"","mg/L",">100"
"3/7/2025","4:54:20 AM","REAGENT BLANK",0.0000,"","mg/L",">100"
"3/7/2025","4:54:30 AM","LC003927-001",0.0297,"","mg/L",3.7
"3/7/2025","5:07:16 AM","LC003927-003",0.0438,"","mg/L",4.3
"3/7/2025","5:07:28 AM","LC003927-004",0.0461,"","mg/L",1.9
"3/7/2025","5:07:40 AM","LC003927-005",-0.0018,"","mg/L",">100"
"3/7/2025","5:07:52 AM","LC003927-007",0.0397,"","mg/L",3.2
"3/7/2025","5:08:00 AM","LC003927-008","OVER","R","mg/L",0.0
"3/7/2025","5:08:22 AM","PATRON",0.8873,"","mg/L",0.6
"3/7/2025","5:08:36 AM","LC003927-009","OVER","R","mg/L",0.0
"3/7/2025","5:08:48 AM","LC003927-010",0.0005,"","mg/L",">100"
"3/7/2025","5:09:00 AM","LC003927-011",0.1165,"","mg/L",1.2
"3/7/2025","5:09:00 AM","PATRON","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"3/7/2025","5:10:50 AM","LC003927-008",2.4596,"","mg/L",1.0
"3/7/2025","5:33:42 AM","LC003927-009",2.4542,"","mg/L",1.4
"3/7/2025","5:33:42 AM","LC003927-010","","","mg/L",""
