Analyst,,,,,,
Date Started,3/15/2025 10:01 PM  GMT: 3/16/2025 5:01 AM,,,,,
Worksheet,LC004002_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/15/2025,10:15:12 PM,BLANCO,0.0134,,mg/L,34.1
3/15/2025,10:15:30 PM,REAGENT BLANK,0,,mg/L,7.8
3/15/2025,10:16:04 PM,LC004002-001,0.4433,,mg/L,0.9
3/15/2025,10:16:16 PM,LC004002-002,0.1546,,mg/L,0.8
3/15/2025,10:16:30 PM,LC004002-003,0.1235,,mg/L,1.4
3/15/2025,10:16:56 PM,LC004002-005,0.0493,,mg/L,1.1
3/15/2025,10:17:16 PM,LC004002-006,0.3788,,mg/L,0.4
3/15/2025,10:19:38 PM,LC004002-007,0.0052,,mg/L,8.4
3/15/2025,10:19:50 PM,LC004002-008,0.0067,,mg/L,16.5
3/15/2025,10:20:04 PM,LC004002-009,0.568,,mg/L,0.7
3/15/2025,10:20:18 PM,LC004002-010,0.0655,,mg/L,1.9
3/15/2025,10:20:32 PM,LC004002-011,0.8412,,mg/L,1.3
3/15/2025,10:20:44 PM,LC004002-012,0.1908,,mg/L,1.2
3/15/2025,10:21:36 PM,BLANCO,0.0192,,mg/L,8
3/15/2025,10:21:50 PM,REAGENT BLANK,0,,mg/L,3
3/15/2025,10:23:56 PM,PATRON,0.8761,,mg/L,0.9
3/15/2025,10:33:16 PM,PATRON,0.8737,,mg/L,0.1
3/15/2025,11:05:48 PM,LC004002-004,0.1291,,mg/L,2.2
3/15/2025,11:06:06 PM,LC004002-013,0.9327,,mg/L,0.4
3/15/2025,11:13:10 PM,PATRON,0.8907,,mg/L,0.7
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
