Analyst,,,,,,
Date Started,7/11/2025 5:41 AM  GMT: 7/11/2025 12:41 PM,,,,,
Worksheet,LC004919_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/11/2025,5:59:22 AM,PATRON,0.8981,,mg/L,0.2
7/11/2025,6:00:10 AM,BLANCO,-0.0039,,mg/L,93.7
7/11/2025,6:00:20 AM,REAGENT BLANK,0,,mg/L,34.5
7/11/2025,6:00:30 AM,LC004919-001,0.0459,,mg/L,0.6
7/11/2025,6:00:44 AM,LC004919-002,0.0261,,mg/L,3
7/11/2025,6:01:00 AM,LC004919-003,0.1698,,mg/L,0.5
7/11/2025,6:01:14 AM,LC004919-004,0.0603,,mg/L,1.7
7/11/2025,6:01:30 AM,LC004919-005,0.1015,,mg/L,0.3
7/11/2025,6:01:46 AM,LC004919-006,1.5863,,mg/L,1.1
7/11/2025,6:04:34 AM,PATRON,0.8957,,mg/L,0.8
7/11/2025,6:04:52 AM,LC004919-007,1.7617,,mg/L,0
7/11/2025,6:05:08 AM,LC004919-008,0.1665,,mg/L,1.3
7/11/2025,6:05:22 AM,LC004919-009,0.9764,,mg/L,1.1
7/11/2025,6:05:36 AM,LC004919-010,0.0767,,mg/L,1.6
7/11/2025,6:05:50 AM,LC004919-011,0.0017,,mg/L,50.6
7/11/2025,6:06:04 AM,LC004919-012,0.0044,,mg/L,12.9
7/11/2025,6:06:20 AM,PATRON,0.9089,,mg/L,0.6
7/11/2025,6:06:34 AM,LC004919-013,0.0327,,mg/L,4.3
7/11/2025,6:06:48 AM,LC004919-014,0.0036,,mg/L,34.2
7/11/2025,6:07:04 AM,LC004919-015,0.2911,,mg/L,0.5
7/11/2025,6:07:18 AM,LC004919-016,0.0059,,mg/L,21.1
7/11/2025,6:07:34 AM,LC004919-017,0.1249,,mg/L,0.8
7/11/2025,6:07:48 AM,LC004919-018,0.1147,,mg/L,1.8
7/11/2025,6:08:22 AM,PATRON,0.9141,,mg/L,0.3
7/11/2025,6:08:38 AM,LC004919-019,0.1313,,mg/L,0.8
7/11/2025,6:08:50 AM,LC004919-020,0.0973,,mg/L,1.3
7/11/2025,6:09:06 AM,LC004919-021,0.1229,,mg/L,1.4
7/11/2025,6:09:20 AM,LC004919-022,0.1084,,mg/L,0.9
7/11/2025,6:09:46 AM,LC004919-024,0.0684,,mg/L,0.7
7/11/2025,6:10:00 AM,PATRON,0.9188,,mg/L,0.7
7/11/2025,6:10:26 AM,PATRON,0.9186,,mg/L,0.5
7/11/2025,6:11:52 AM,LC004919-023,0.9583,,mg/L,0.4
7/11/2025,6:12:04 AM,BLANCO,0.0024,,mg/L,>100
7/11/2025,6:12:14 AM,REAGENT BLANK,0,,mg/L,13.3
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
