Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.337
Comp. Cola Columna,Untitled 000,0.211
Barren,Untitled 000,0.211
Cabeza puntual retorno,Untitled 000,0.332
Celda # 11-A,Untitled 000,0.206
Celda # 11-B,Untitled 000,0.077
Celda # 11-C,Untitled 000,0.059
Celda # 6-F2,Untitled 000,0.065
Celda #5-9,Untitled 000,0.64
Celda #(F1+F2),Untitled 000,0.362
NE Tubo 1,Untitled 000,0.03
NE Tubo 2,Untitled 000,0.221
NE Tubo 4,Untitled 000,0.106
NE Tubo 5,Untitled 000,0.029
NE Tubo 6,Untitled 000,0.018
NE Tubo 7,Untitled 000,0.274
Puntual Noroeste,Untitled 000,0.376
Barren Patios,Untitled 000,0.235
Tubo 3,Untitled 000,0.904
Especial 1,Untitled 000,0.121
Especial 2,Untitled 000,0.554
Especial 3,Untitled 000,0.065
Especial 4,Untitled 000,0.048
Especial 5,Untitled 000,0.351
Especial 6,Untitled 000,0.021
