"Analista","JUDAS"
"Fecha de inicio","11/2/2023 12:45 AM  GMT: 11/2/2023 7:45 AM"
"Hoja de trabajo","LC001530_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"11/2/2023","1:41:26 AM","PATRON",0.9120,"","mg/L"
"11/2/2023","1:41:44 AM","BLANCO",0.0400,"","mg/L"
"11/2/2023","1:41:56 AM","BLANCO REACTIVO REAG",0.0446,"","mg/L"
"11/2/2023","1:42:08 AM","LC001530-001","OVER","R","mg/L"
"11/2/2023","1:42:24 AM","LC001530-002",1.5002,"","mg/L"
"11/2/2023","1:42:30 AM","LC001530-003","OVER","R","mg/L"
"11/2/2023","1:42:42 AM","LC001530-004",0.2001,"","mg/L"
"11/2/2023","1:42:58 AM","LC001530-005",0.8401,"","mg/L"
"11/2/2023","1:43:14 AM","LC001530-006",0.0155,"","mg/L"
"11/2/2023","1:43:32 AM","PATRON",0.9188,"","mg/L"
"11/2/2023","1:44:08 AM","LC001530-008",0.3883,"","mg/L"
"11/2/2023","1:44:46 AM","LC001530-011","OVER","R","mg/L"
"11/2/2023","1:44:54 AM","LC001530-012","OVER","R","mg/L"
"11/2/2023","1:45:10 AM","PATRON",0.9214,"","mg/L"
"11/2/2023","1:45:24 AM","LC001530-013",1.1652,"","mg/L"
"11/2/2023","1:45:40 AM","LC001530-014",1.0034,"","mg/L"
"11/2/2023","1:45:48 AM","LC001530-015","OVER","R","mg/L"
"11/2/2023","1:45:58 AM","LC001530-016","OVER","R","mg/L"
"11/2/2023","1:46:12 AM","LC001530-017",0.4332,"","mg/L"
"11/2/2023","1:46:20 AM","LC001530-018","OVER","R","mg/L"
"11/2/2023","1:46:36 AM","PATRON",0.9134,"","mg/L"
"11/2/2023","1:46:52 AM","LC001530-019","OVER","R","mg/L"
"11/2/2023","1:47:20 AM","LC001530-021","OVER","R","mg/L"
"11/2/2023","1:47:32 AM","LC001530-022","OVER","R","mg/L"
"11/2/2023","1:47:40 AM","LC001530-023","OVER","R","mg/L"
"11/2/2023","1:51:06 AM","LC001530-007",0.9627,"","mg/L"
"11/2/2023","1:51:30 AM","LC001530-009",0.7472,"","mg/L"
"11/2/2023","1:51:40 AM","LC001530-010",0.7353,"","mg/L"
"11/2/2023","1:51:58 AM","LC001530-024",0.0118,"","mg/L"
"11/2/2023","1:52:32 AM","LC001530-020",0.0002,"","mg/L"
"11/2/2023","1:52:52 AM","PATRON",0.8989,"","mg/L"
"11/2/2023","1:52:52 AM","PATRON","","","mg/L"

"Método: Au AU ALTO (Llama)"


"11/2/2023","1:56:36 AM","LC001530-001",1.9524,"","mg/L"
"11/2/2023","1:56:48 AM","LC001530-003",3.7712,"","mg/L"
"11/2/2023","1:57:04 AM","LC001530-011",6.2866,"","mg/L"
"11/2/2023","1:57:16 AM","LC001530-012",3.0064,"","mg/L"
"11/2/2023","1:57:36 AM","LC001530-015",3.1495,"","mg/L"
"11/2/2023","1:57:48 AM","LC001530-016",4.7434,"","mg/L"
"11/2/2023","1:58:02 AM","LC001530-018",4.6621,"","mg/L"
"11/2/2023","1:58:22 AM","LC001530-019",4.5948,"","mg/L"
"11/2/2023","1:58:42 AM","LC001530-021",4.5227,"","mg/L"
"11/2/2023","1:58:54 AM","LC001530-022",3.2721,"","mg/L"
"11/2/2023","1:59:08 AM","LC001530-023",3.0927,"","mg/L"
"11/2/2023","1:59:08 AM","PATRON","","","mg/L"
