Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.103
Cabeza puntual retorno,Au 242.80,0.099
Celda #(F1+F2),Au 242.80,0.11
Puntual Noroeste,Au 242.80,0.125
Tubo 3,Au 242.80,0.158
NE Tubo 2,Au 242.80,0.032
NE Tubo 4,Au 242.80,0.125
Especial 1,Au 242.80,0.062
Especial 2,Au 242.80,0.033
Especial 3,Au 242.80,0.149
Especial 4,Au 242.80,0.138
Especial 5,Au 242.80,0.029
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.012
Barren Patios,Au 242.80,0.009
NE Tubo 1,Au 242.80,0.029
NE Tubo 5,Au 242.80,0.114
NE Tubo 6,Au 242.80,0.061
NE Tubo 7,Au 242.80,0.103
Celda # 11-A,Au 242.80,0.038
Celda # 11-B,Au 242.80,0.021
Celda # 11-C,Au 242.80,0.012
Celda # 6-F2,Au 242.80,0.115
Celda #5-9,Au 242.80,0.019
