Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.744
Cabeza puntual retorno,Untitled 000,0.697
Celda #(F1+F2),Untitled 000,1.666
Puntual Noroeste,Untitled 000,0.350
Tubo 3,Untitled 000,0.402
Comp. Cola Columna,Untitled 000,0.385
Barren,Untitled 000,0.358
Celda # 11-A,Untitled 000,0.324
Celda # 11-B,Untitled 000,0.254
Celda # 11-C,Untitled 000,0.031
Celda #5-9,Untitled 000,0.024
NE Tubo 1,Untitled 000,0.030
NE Tubo 2,Untitled 000,0.142
NE Tubo 4,Untitled 000,0.413
NE Tubo 5,Untitled 000,0.175
NE Tubo 6,Untitled 000,0.153
NE Tubo 7,Untitled 000,0.397
Barren Patios,Untitled 000,0.480
Especial 1,Untitled 000,0.038
Especial 2,Untitled 000,0.035
Especial 3,Untitled 000,0.239
Especial 4,Untitled 000,0.600
Especial 5,Untitled 000,0.041
Columna #1,Untitled 000,1.027
Columna #2,Untitled 000,0.869
Columna #3,Untitled 000,0.726
Columna #4,Untitled 000,0.637
Columna #5,Untitled 000,0.485
