Analyst,,,,,,
Date Started,8/7/2025 2:45 AM  GMT: 8/7/2025 9:45 AM,,,,,
Worksheet,LC005113_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
8/7/2025,2:57:12 AM,PATRON,0.8843,,mg/L,1.4
8/7/2025,2:57:24 AM,BLANCO,-0.0158,,mg/L,89.8
8/7/2025,2:57:34 AM,REAGENT BLANK,0,,mg/L,>100
8/7/2025,2:57:56 AM,LC005113-001,0.0808,,mg/L,5
8/7/2025,2:58:10 AM,LC005113-002,0.0334,,mg/L,5.2
8/7/2025,2:58:24 AM,LC005113-003,0.282,,mg/L,1.2
8/7/2025,2:58:40 AM,LC005113-004,0.0116,,mg/L,41.9
8/7/2025,2:58:54 AM,LC005113-005,0.4414,,mg/L,1.2
8/7/2025,2:59:08 AM,LC005113-006,0.0964,,mg/L,8.4
8/7/2025,3:00:22 AM,PATRON,0.9198,,mg/L,1.5
8/7/2025,3:00:36 AM,LC005113-007,0.5746,,mg/L,0.3
8/7/2025,3:00:52 AM,LC005113-008,0.2127,,mg/L,2.6
8/7/2025,3:01:06 AM,LC005113-009,0.3108,,mg/L,1.4
8/7/2025,3:01:20 AM,LC005113-010,0.1287,,mg/L,2.1
8/7/2025,3:01:34 AM,LC005113-011,0.3239,,mg/L,0.8
8/7/2025,3:01:50 AM,LC005113-012,0.5495,,mg/L,1
8/7/2025,3:02:08 AM,PATRON,0.9143,,mg/L,1.3
8/7/2025,3:02:24 AM,LC005113-013,0.1632,,mg/L,1.5
8/7/2025,3:02:38 AM,LC005113-014,1.3368,,mg/L,0.4
8/7/2025,3:02:52 AM,LC005113-015,0.0074,,mg/L,69.4
8/7/2025,3:03:06 AM,LC005113-016,0.153,,mg/L,6.3
8/7/2025,3:03:20 AM,LC005113-017,0.4439,,mg/L,0.7
8/7/2025,3:03:34 AM,LC005113-018,0.1517,,mg/L,2.4
8/7/2025,3:03:50 AM,PATRON,0.9214,,mg/L,2
8/7/2025,3:04:04 AM,LC005113-019,0.3205,,mg/L,1.2
8/7/2025,3:04:18 AM,LC005113-020,0.3291,,mg/L,1.1
8/7/2025,3:04:32 AM,LC005113-021,0.1337,,mg/L,3.8
8/7/2025,3:04:46 AM,LC005113-022,0.5208,,mg/L,0.6
8/7/2025,3:06:04 AM,PATRON,0.9126,,mg/L,1.2
8/7/2025,3:06:26 AM,REAGENT BLANK,0,,mg/L,>100
8/7/2025,3:06:46 AM,BLANCO,0.0013,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
