Analyst,,,,,,
Date Started,10/29/2025 11:34 PM  GMT: 10/30/2025 6:34 AM,,,,,
Worksheet,LC005675_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/29/2025,11:51:48 PM,PATRON,0.9037,,mg/L,0.3
10/29/2025,11:51:58 PM,BLANCO,0.0111,,mg/L,33.7
10/29/2025,11:52:08 PM,REAGENT BLANK,0,,mg/L,17.7
10/29/2025,11:52:32 PM,LC005675-001,0.3496,,mg/L,0.8
10/29/2025,11:52:42 PM,LC005675-002,0.6157,,mg/L,0.6
10/29/2025,11:52:50 PM,LC005675-003,0.5408,,mg/L,1.1
10/29/2025,11:53:00 PM,LC005675-004,0.9185,,mg/L,0.6
10/29/2025,11:53:10 PM,LC005675-005,0.4078,,mg/L,0.5
10/29/2025,11:53:20 PM,LC005675-006,0.4158,,mg/L,0.5
10/29/2025,11:53:30 PM,PATRON,0.8831,,mg/L,0.6
10/29/2025,11:53:42 PM,LC005675-007,0.7628,,mg/L,1.1
10/29/2025,11:53:52 PM,LC005675-008,0.0054,,mg/L,24.6
10/29/2025,11:53:58 PM,LC005675-009,OVER,R,mg/L,0
10/29/2025,11:54:06 PM,LC005675-010,OVER,R,mg/L,0
10/29/2025,11:54:18 PM,LC005675-011,0.3702,,mg/L,0.5
10/29/2025,11:54:28 PM,LC005675-012,0.0073,,mg/L,22.8
10/29/2025,11:54:38 PM,PATRON,0.8619,,mg/L,0.5
10/29/2025,11:54:58 PM,LC005675-013,0.3618,,mg/L,0.5
10/29/2025,11:55:08 PM,LC005675-014,0.0028,,mg/L,42.7
10/29/2025,11:55:18 PM,LC005675-015,0.0579,,mg/L,1
10/29/2025,11:55:26 PM,LC005675-016,0.1161,,mg/L,1.5
10/29/2025,11:55:36 PM,LC005675-017,0.0703,,mg/L,0.5
10/29/2025,11:55:46 PM,LC005675-018,0.1214,,mg/L,0.2
10/29/2025,11:55:58 PM,PATRON,0.8622,,mg/L,0.7
10/29/2025,11:56:10 PM,LC005675-019,1.0126,,mg/L,0.2
10/29/2025,11:56:10 PM,PATRON,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
10/29/2025,11:57:46 PM,LC005675-009,1.8465,,mg/L,0.4
10/29/2025,11:57:56 PM,LC005675-010,1.8453,,mg/L,0.1
