Analyst,,,,,,
Date Started,4/29/2025 5:41 AM  GMT: 4/29/2025 12:41 PM,,,,,
Worksheet,LC004335_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/29/2025,5:57:12 AM,PATRON,0.878,,mg/L,1.4
4/29/2025,5:57:28 AM,BLANCO,0.0015,,mg/L,>100
4/29/2025,5:57:38 AM,REAGENT BLANK,0,,mg/L,>100
4/29/2025,5:57:52 AM,LC004335-001,0.1171,,mg/L,1.2
4/29/2025,5:58:06 AM,LC004335-002,0.0937,,mg/L,1.1
4/29/2025,5:58:20 AM,LC004335-003,0.0876,,mg/L,1.5
4/29/2025,5:58:34 AM,LC004335-004,0.0747,,mg/L,2.8
4/29/2025,5:58:48 AM,LC004335-005,0.2523,,mg/L,0.4
4/29/2025,5:59:02 AM,LC004335-006,0.0293,,mg/L,2.1
4/29/2025,5:59:18 AM,PATRON,0.8813,,mg/L,0.6
4/29/2025,5:59:32 AM,LC004335-007,0.1114,,mg/L,0.5
4/29/2025,5:59:46 AM,LC004335-008,0.283,,mg/L,0.8
4/29/2025,6:00:00 AM,LC004335-009,0.4435,,mg/L,1
4/29/2025,6:00:14 AM,LC004335-010,0.0956,,mg/L,0.7
4/29/2025,6:00:28 AM,LC004335-011,0.0432,,mg/L,0.6
4/29/2025,6:00:42 AM,LC004335-012,0.2463,,mg/L,1.7
4/29/2025,6:00:56 AM,PATRON,0.8799,,mg/L,0.8
4/29/2025,6:01:10 AM,LC004335-013,0.101,,mg/L,2
4/29/2025,6:01:26 AM,LC004335-014,0.0948,,mg/L,1.4
4/29/2025,6:01:40 AM,LC004335-015,0.0863,,mg/L,2.3
4/29/2025,6:01:54 AM,LC004335-016,0.009,,mg/L,9.2
4/29/2025,6:02:10 AM,LC004335-017,0.0104,,mg/L,10.4
4/29/2025,6:02:24 AM,LC004335-018,0.0356,,mg/L,1.3
4/29/2025,6:02:40 AM,PATRON,0.9004,,mg/L,0.7
4/29/2025,6:02:54 AM,LC004335-019,0.0563,,mg/L,1.6
4/29/2025,6:03:08 AM,LC004335-020,0.1442,,mg/L,1
4/29/2025,6:03:22 AM,LC004335-021,0.0132,,mg/L,9.6
4/29/2025,6:03:38 AM,LC004335-022,0.064,,mg/L,2.2
4/29/2025,6:03:52 AM,LC004335-023,0.0902,,mg/L,0.7
4/29/2025,6:04:06 AM,LC004335-024,0.119,,mg/L,0.9
4/29/2025,6:04:20 AM,PATRON,0.9123,,mg/L,1.1
4/29/2025,6:04:30 AM,PATRON,0.9126,,mg/L,0.9
4/29/2025,6:05:52 AM,REAGENT BLANK,0,,mg/L,92.8
4/29/2025,6:06:20 AM,BLANCO,0.0008,,mg/L,>100
4/29/2025,6:06:20 AM,13,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
