Analista,JUDAS,,,,
Fecha de inicio,8/19/2023 1:09 AM  GMT: 8/19/2023 8:09 AM,,,,
Hoja de trabajo,LC001011_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/19/2023,1:34:00 AM,PATRON,0.9084,,mg/L
8/19/2023,1:34:20 AM,BLANCO,0.0569,,mg/L
8/19/2023,1:34:32 AM,BLANCO REACTIVO REAG,0.0226,,mg/L
8/19/2023,1:34:48 AM,LC001011-001,0.0638,,mg/L
8/19/2023,1:35:02 AM,LC001011-002,0.0369,,mg/L
8/19/2023,1:35:18 AM,LC001011-003,0.0203,,mg/L
8/19/2023,1:35:38 AM,LC001011-004,0.4457,,mg/L
8/19/2023,1:35:56 AM,LC001011-005,0.0374,,mg/L
8/19/2023,1:36:12 AM,LC001011-006,0.0282,,mg/L
8/19/2023,1:36:28 AM,PATRON,0.9168,,mg/L
8/19/2023,1:36:48 AM,LC001011-007,0.0451,,mg/L
8/19/2023,1:37:08 AM,LC001011-008,0.0347,,mg/L
8/19/2023,1:37:22 AM,LC001011-009,0.0279,,mg/L
8/19/2023,1:37:36 AM,LC001011-010,0.0367,,mg/L
8/19/2023,1:37:50 AM,LC001011-011,0.126,,mg/L
8/19/2023,1:38:48 AM,LC001011-012,0.4477,,mg/L
8/19/2023,1:41:16 AM,PATRON,0.8879,,mg/L
8/19/2023,1:41:30 AM,LC001011-013,0.0131,,mg/L
8/19/2023,1:41:42 AM,LC001011-014,0.1053,,mg/L
8/19/2023,1:41:54 AM,LC001011-015,0.1643,,mg/L
8/19/2023,1:42:08 AM,LC001011-016,0.047,,mg/L
8/19/2023,1:42:22 AM,LC001011-017,0.0563,,mg/L
8/19/2023,1:42:34 AM,LC001011-018,0.1638,,mg/L
8/19/2023,1:42:50 AM,PATRON,0.8883,,mg/L
8/19/2023,1:43:08 AM,LC001011-019,0.1708,,mg/L
8/19/2023,1:43:20 AM,LC001011-020,0.1767,,mg/L
8/19/2023,1:43:32 AM,LC001011-021,0.1852,,mg/L
8/19/2023,1:43:46 AM,LC001011-022,0.4428,,mg/L
8/19/2023,1:44:00 AM,LC001011-023,0.4172,,mg/L
8/19/2023,1:44:12 AM,LC001011-024,0.0764,,mg/L
8/19/2023,1:44:34 AM,PATRON,0.9032,,mg/L
8/19/2023,1:44:34 AM,PATRON,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
