Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.065
Cabeza puntual retorno,Au 242.80,0.070
Celda #(F1+F2),Au 242.80,0.075
Puntual Noroeste,Au 242.80,0.077
Tubo 3,Au 242.80,0.133
Comp. Cola Columna,Au 242.80,0.003
Barren,Au 242.80,0.004
Celda # 11-A,Au 242.80,0.004
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.012
Celda # 6-F2,Au 242.80,0.031
Celda #5-9,Au 242.80,0.021
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.058
NE Tubo 5,Au 242.80,0.035
NE Tubo 6,Au 242.80,0.016
NE Tubo 7,Au 242.80,0.030
NE Tubo 4,Au 242.80,0.029
Barren Patios,Au 242.80,0.009
Especial 1,Au 242.80,0.112
Especial 2,Au 242.80,0.033
Especial 3,Au 242.80,0.022
Especial 4,Au 242.80,0.016
Especial 5,Au 242.80,0.042
