Analyst,,,,,,,
Date Started,6/10/2025 12:33 AM  GMT: 6/10/2025 7:33 AM,,,,,,
Worksheet,LC004692_24,,,,,,
Comment,,,,,,,
Methods,"Au,Au",,,,,,
,,,,,,,
Method: Au (Flame),,,,,,,
6/10/2025,12:53:24 AM,PATRON,0.8978,,,,
6/10/2025,12:53:24 AM,BLANCO,0.001,,,,>100
6/10/2025,12:53:24 AM,REAGENT BLANK,0,,,,>100
6/10/2025,12:53:24 AM,LC004692-001,0.0418,,,mg/L,5.5
6/10/2025,12:53:34 AM,LC004692-002,0.0314,,,mg/L,1.3
6/10/2025,12:53:44 AM,LC004692-003,0.0013,,,mg/L,>100
6/10/2025,12:53:54 AM,LC004692-004,0.1481,,,mg/L,1.5
6/10/2025,12:54:04 AM,LC004692-005,0.104,,,mg/L,1
6/10/2025,12:54:14 AM,LC004692-006,0.2932,,,mg/L,0.3
6/10/2025,12:55:00 AM,PATRON,0.9069,,,mg/L,1.8
6/10/2025,12:55:14 AM,LC004692-007,0.2164,,,mg/L,>100
6/10/2025,12:55:24 AM,LC004692-008,0.2054,,,mg/L,2.4
6/10/2025,12:55:34 AM,LC004692-009,-0.001,,,mg/L,2.5
6/10/2025,1:00:22 AM,LC004692-010,0.0984,,,mg/L,0.3
6/10/2025,1:01:00 AM,LC004692-011,0.1352,,,mg/L,0.5
6/10/2025,1:01:14 AM,LC004692-012,0.4345,,,mg/L,2.2
6/10/2025,1:01:26 AM,PATRON,0.906,,,mg/L,0.4
6/10/2025,1:01:36 AM,LC004692-013,0.1416,,,mg/L,0.4
6/10/2025,1:01:46 AM,LC004692-014,0.157,,,mg/L,2.3
6/10/2025,1:01:56 AM,LC004692-015,0.2586,,,mg/L,0.8
6/10/2025,1:02:06 AM,LC004692-016,0.079,,,mg/L,5.1
6/10/2025,10:44:44 AM,LC004692-017,0.2304,,,mg/L,1.1
6/10/2025,10:44:56 AM,LC004692-018,0.0355,,,mg/L,0.7
6/10/2025,10:45:16 AM,PATRON,0.9108,,,mg/L,90.9
6/10/2025,10:45:38 AM,PATRON,0.9108,,,mg/L,1.1
6/10/2025,10:45:58 AM,BLANCO,0.001,,,mg/L,>100
6/10/2025,10:45:58 AM,REAGENT BLANK,0,,,mg/L,>100
,,,,,,,
Method: Au AU ALTO (Flame),,,,,,,
