Analista,,,,,
Fecha de inicio,11/28/2023 11:05 AM  GMT: 11/28/2023 6:05 PM,,,,
Hoja de trabajo,LC001659-QB,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
11/28/2023,12:14:54 p. m.,PATRON,0.9083,,mg/L
11/28/2023,12:15:10 p. m.,LCQB-20231124-1T,1.7627,,mg/L
11/28/2023,12:15:24 p. m.,LCQB-20231124-1T-002,1.8769,,mg/L
11/28/2023,12:15:36 p. m.,LCQB-20231124-1TMall,2.5939,,mg/L
11/28/2023,12:15:50 p. m.,LCQB-20231124-1T-004,1.7861,,mg/L
11/28/2023,12:16:02 p. m.,LCQB-20231124-1T-005,1.7927,,mg/L
11/28/2023,12:16:14 p. m.,LCQB-20231124-1T-006,1.1829,,mg/L
11/28/2023,12:18:02 p. m.,LCQB-20231124-1T-007,0.0436,,mg/L
11/28/2023,12:18:50 p. m.,LCQB-20231124-1T-008,-0.0005,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
