Analista,,,,,,,,,,
Fecha de inicio,26/01/2023 02:57 p. m.  GMT: 26/01/2023 08:57 p. m.,,,,,,,,,
Hoja de trabajo,SA000155_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,34.8,0.0006,-0.0005,0.0004,0.0008,0.0007
,PATRÓN 1,0.5,,mg/L,2.2,0.0158,-0.0001,0.0161,0.0154,0.0158
,PATRÓN 2,1,,mg/L,1.7,0.0317,0.0001,0.0322,0.0311,0.0319
,PATRÓN 3,2,,mg/L,0.5,0.066,-0.0001,0.0658,0.0659,0.0664
,PATRÓN 4,5,,mg/L,0.6,0.1662,0.0004,0.1669,0.1666,0.1652
,PATRÓN 5,10,,mg/L,0.3,0.3242,0.0003,0.3252,0.324,0.3232
,PATRON,0.504,,mg/L,1.5,0.016,0,0.0158,0.0162,0.0159
,BLANCO,-0.013,,mg/L,36.6,-0.0004,0.0005,-0.0003,-0.0003,-0.0006
,BLANCO REACTIVO,0,,mg/L,36.1,0.0007,-0.0005,0.0004,0.0009,0.0007
,SA000155-001,0.0419,,mg/L,8.8,0.0057,-0.001,0.0061,0.0057,0.0051
,SA000155-002,0.0313,,mg/L,5.3,0.0042,-0.0008,0.004,0.0042,0.0045
,SA000155-003,0.0385,,mg/L,1.3,0.0052,-0.0001,0.0052,0.0052,0.0053
,SA000155-004,0.0762,,mg/L,2.6,0.0103,-0.0004,0.0102,0.0101,0.0106
,SA000155-005,0.0697,,mg/L,2.9,0.0094,0.0003,0.0096,0.0091,0.0096
,CERO CAL,0,,mg/L,>100,0,0.0005,0.0004,-0.0003,-0.0002
,Ajuste Pendiente,1,,mg/L,0.7,0.0319,-0.0006,0.0321,0.0317,0.0319
,PATRON,0.4878,,mg/L,1.2,0.0155,-0.0001,0.0157,0.0154,0.0155
,SA000155-006,0.0898,,mg/L,2.7,0.0123,0.0002,0.0119,0.0124,0.0125
,SA000155-007,0.0393,,mg/L,0.6,0.0053,0.0001,0.0054,0.0054,0.0053
,SA000155-008,0.0704,,mg/L,3.6,0.0096,0.0002,0.0095,0.0099,0.0093
,SA000155-009,0.0893,,mg/L,1.4,0.0122,0,0.0124,0.012,0.0121
,SA000155-010,0.1156,,mg/L,2.8,0.0158,0.0005,0.0163,0.0157,0.0155
,PATRON,0.4936,,mg/L,2.1,0.0157,-0.0002,0.0159,0.0153,0.016
,BLANCO,-0.004,,mg/L,>100,-0.0001,0.0004,-0.0002,-0.0003,0
,BLANCO REACTIVO,0,,mg/L,26,-0.0003,0.0011,-0.0002,-0.0002,-0.0003
,SA000155-011,0.0398,,mg/L,2.8,0.0054,0.0008,0.0056,0.0053,0.0054
,SA000155-012,0.0645,,mg/L,3.6,0.0088,0.0013,0.0085,0.0088,0.0091
,SA000155-013,0.3559,,mg/L,1.8,0.0496,0.0012,0.05,0.0502,0.0486
,SA000155-014,0.2345,,mg/L,2.2,0.0324,0.0008,0.0319,0.0332,0.0321
,SA000155-015,0.3045,,mg/L,1.5,0.0424,0.0012,0.0417,0.0426,0.0429
,PATRON,0.4915,,mg/L,1.4,0.0157,0.0008,0.0154,0.0157,0.0159
,SA000155-016,1.3468,,mg/L,0.6,0.1952,0.0013,0.1948,0.1965,0.1942
,SA000155-017,0.9468,,mg/L,0.7,0.136,0.0013,0.1371,0.1355,0.1355
,SA000155-018,0.5666,,mg/L,0.6,0.08,0.0012,0.0796,0.0797,0.0806
,SA000155-019,0.0546,,mg/L,2.6,0.0074,0.001,0.0076,0.0074,0.0072
,SA000155-020,0.0372,,mg/L,8.1,0.0051,0.0009,0.0055,0.0049,0.0048
,PATRON,0.497,,mg/L,2,0.0158,0.0005,0.0162,0.0157,0.0156
,BLANCO REACTIVO,0,,mg/L,44.1,0.0003,0.0005,0.0003,0.0004,0.0001
,BLANCO,0.0025,,mg/L,>100,0.0001,0.0003,0.0002,-0.0002,0.0002
,SA000155-021,0.0486,,mg/L,1.3,0.0066,0.0003,0.0065,0.0067,0.0066
,SA000155-022,1.3391,,mg/L,1.6,0.1932,0.0008,0.1968,0.1907,0.1922
,SA000155-023,0.0047,,mg/L,24.2,0.0006,0.0005,0.0005,0.0008,0.0006
,SA000155-024,0.0434,,mg/L,1.3,0.0059,0.0005,0.006,0.0058,0.0059
,SA000155-025,0.0131,,mg/L,17.5,0.0018,0.0006,0.0017,0.0015,0.0021
,CERO CAL,0,,mg/L,30.8,-0.0004,0.0003,-0.0003,-0.0005,-0.0003
,PATRÓN 1,0.5,,mg/L,0.6,0.0159,-0.0001,0.016,0.0159,0.0158
,PATRÓN 2,1,,mg/L,0.9,0.0323,0,0.032,0.0322,0.0326
,PATRÓN 3,2,,mg/L,0.7,0.0659,-0.0003,0.0657,0.0656,0.0664
,PATRÓN 4,5,,mg/L,0.2,0.1659,-0.0002,0.1658,0.1662,0.1658
,PATRÓN 5,10,,mg/L,0.6,0.3224,0.0004,0.3225,0.3206,0.3242
,PATRON,0.5076,,mg/L,1,0.0162,-0.0003,0.0164,0.0162,0.0161
,SA000155-026,0.0515,,mg/L,6.5,0.007,0.0004,0.0076,0.0068,0.0067
,SA000155-027,0.0234,,mg/L,2,0.0032,0.0003,0.0032,0.0031,0.0033
,SA000155-028,0.9708,,mg/L,0.2,0.1385,0.0005,0.1386,0.1387,0.1382
,SA000155-029,1.0656,,mg/L,0.3,0.1525,0.0007,0.1521,0.1524,0.153
,SA000155-030,0.7057,,mg/L,0.3,0.1001,0.0006,0.1002,0.0997,0.1004
,PATRON,0.4938,,mg/L,1.5,0.0158,0,0.016,0.0159,0.0155
,BLANCO,-0.012,,mg/L,81.5,-0.0004,0.0005,-0.0002,-0.0002,-0.0007
,BLANCO REACTIVO,0,,mg/L,2.6,-0.0007,0.0007,-0.0007,-0.0007,-0.0007
,SA000155-031,0.0066,,mg/L,10.9,0.0009,0.0016,0.001,0.0008,0.0009
,SA000155-032,0.8705,,mg/L,0.2,0.1239,0.0017,0.1241,0.1237,0.1238
,PATRON,0.5054,,mg/L,1.5,0.0162,0.0008,0.0165,0.0161,0.016
