Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.096
Cabeza puntual retorno,Au 242.80,0.099
Celda #(F1+F2),Au 242.80,0.093
Puntual Noroeste,Au 242.80,0.094
Tubo 3,Au 242.80,0.137
Comp. Cola Columna,Au 242.80,0.007
Barren,Au 242.80,0.012
Celda # 11-A,Au 242.80,0.067
Celda # 11-B,Au 242.80,0.034
Celda # 11-C,Au 242.80,0.041
Celda #5-9,Au 242.80,0.047
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.051
NE Tubo 4,Au 242.80,0.055
NE Tubo 5,Au 242.80,0.022
NE Tubo 6,Au 242.80,0.021
NE Tubo 7,Au 242.80,0.096
Especial 1,Au 242.80,0.111
Especial 2,Au 242.80,0.033
Especial 3,Au 242.80,0.005
Especial 4,Au 242.80,0.006
Especial 5,Au 242.80,0.007
