Analyst,CD,,,,,
Date Started,3/30/2025 9:39 PM  GMT: 3/30/2025 9:44 PM,,,,,
Worksheet,LC004115_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/30/2025,9:34:48 PM,PATRON,0.907,,mg/L,0.6
3/30/2025,9:35:02 PM,BLANCO,0.0053,,mg/L,51.3
3/30/2025,9:35:16 PM,REAGENT BLANK,0,,mg/L,>100
3/30/2025,9:35:30 PM,LC004115-001,0.3599,,mg/L,0.4
3/30/2025,9:35:44 PM,LC004115-002,0.133,,mg/L,0.3
3/30/2025,9:35:44 PM,LC004115-003,0.127,,mg/L,0.3
3/30/2025,9:35:58 PM,LC004115-004,OVER,R,mg/L,0.2
3/30/2025,9:36:12 PM,LC004115-005,0.1836,,mg/L,0.3
3/30/2025,9:36:12 PM,LC004115-006,-0.0013,,mg/L,52.7
3/30/2025,9:36:26 PM,LC004115-007,0.134,,mg/L,0.2
3/30/2025,9:36:40 PM,LC004115-008,0.0521,,mg/L,1.3
3/30/2025,9:36:54 PM,PATRON,0.8987,,mg/L,0.9
3/30/2025,9:37:08 PM,LC004115-009,0.0483,,mg/L,0.6
3/30/2025,9:37:08 PM,LC004115-010,-0.001,,mg/L,>100
3/30/2025,9:37:22 PM,LC004115-011,OVER,R,mg/L,1.2
3/30/2025,9:37:36 PM,LC004115-012,0.3261,,mg/L,0.8
3/30/2025,9:37:50 PM,LC004115-013,-0.0004,,mg/L,>100
3/30/2025,9:38:04 PM,PATRON,0.8981,,mg/L,1.1
3/30/2025,9:38:18 PM,LC004115-017,0.4419,,mg/L,0.3
3/30/2025,9:38:32 PM,LC004115-018,0.0821,,mg/L,0.9
3/30/2025,9:38:46 PM,LC004115-019,0.0891,,mg/L,1.1
3/30/2025,9:39:00 PM,LC004115-020,OVER,R,mg/L,0.7
3/30/2025,9:39:14 PM,LC004115-021,0.2964,,mg/L,0.4
3/30/2025,9:39:28 PM,LC004115-022,0.2352,,mg/L,0.7
3/30/2025,9:39:42 PM,PATRON,0.9081,,mg/L,1
3/30/2025,9:39:56 PM,LC004115-023,0.0792,,mg/L,2.2
3/30/2025,9:40:10 PM,LC004115-024,0.0354,,mg/L,1.3
3/30/2025,9:40:52 PM,LC004115-014,0.1235,,mg/L,1
3/30/2025,9:41:06 PM,LC004115-016,0.1948,,mg/L,0.6
3/30/2025,9:41:06 PM,LC004115-015,0.952,,mg/L,0.6
3/30/2025,9:41:48 PM,PATRON,0.8977,,mg/L,0.3
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/30/2025,9:42:58 AM,LC004115-004,2.6475,,mg/L,2.39
3/30/2025,9:43:58 AM,LC004115-011,2.6475,,mg/L,2.33
3/30/2025,9:44:58 AM,LC004115-020,1.8845,,mg/L,1.77
